timestamp,currentReplicas,desiredReplicas,currentCPUUtilizationPercent
2026-02-16T20:53:40+05:30,,0,
2026-02-16T20:53:45+05:30,,0,
2026-02-16T20:53:51+05:30,4,0,
2026-02-16T20:53:56+05:30,4,0,
2026-02-16T20:54:01+05:30,4,0,
2026-02-16T20:54:06+05:30,4,8,199
2026-02-16T20:54:12+05:30,4,8,199
2026-02-16T20:54:17+05:30,4,8,199
2026-02-16T20:54:22+05:30,8,14,200
2026-02-16T20:54:28+05:30,8,14,200
2026-02-16T20:54:33+05:30,8,14,200
2026-02-16T20:54:39+05:30,14,24,200
2026-02-16T20:54:44+05:30,14,24,200
2026-02-16T20:54:50+05:30,24,24,200
2026-02-16T20:54:55+05:30,24,24,200
2026-02-16T20:55:01+05:30,24,24,200
2026-02-16T20:55:06+05:30,24,24,200
2026-02-16T20:55:12+05:30,24,24,200
2026-02-16T20:55:18+05:30,24,24,200
2026-02-16T20:55:23+05:30,24,24,200
2026-02-16T20:55:29+05:30,24,24,200
2026-02-16T20:55:34+05:30,24,24,199
2026-02-16T20:55:40+05:30,24,24,199
2026-02-16T20:55:45+05:30,24,24,199
2026-02-16T20:55:51+05:30,24,24,200
2026-02-16T20:55:56+05:30,24,24,200
2026-02-16T20:56:02+05:30,24,24,200
2026-02-16T20:56:08+05:30,24,24,200
2026-02-16T20:56:13+05:30,24,24,200
2026-02-16T20:56:19+05:30,24,24,200
2026-02-16T20:56:24+05:30,24,24,200
2026-02-16T20:56:30+05:30,24,24,200
2026-02-16T20:56:35+05:30,24,24,199
2026-02-16T20:56:41+05:30,24,24,199
2026-02-16T20:56:47+05:30,24,24,199
2026-02-16T20:56:52+05:30,24,24,200
2026-02-16T20:56:58+05:30,24,24,200
2026-02-16T20:57:04+05:30,24,24,200
2026-02-16T20:57:09+05:30,24,24,199
2026-02-16T20:57:15+05:30,24,24,199
2026-02-16T20:57:20+05:30,24,24,195
2026-02-16T20:57:26+05:30,24,24,195
2026-02-16T20:57:32+05:30,24,24,195
2026-02-16T20:57:37+05:30,24,24,199
2026-02-16T20:57:43+05:30,24,24,199
2026-02-16T20:57:48+05:30,24,24,199
2026-02-16T20:57:54+05:30,24,24,200
2026-02-16T20:58:00+05:30,24,24,200
2026-02-16T20:58:05+05:30,24,24,200
2026-02-16T20:58:11+05:30,24,24,200
2026-02-16T20:58:17+05:30,24,24,200
2026-02-16T20:58:22+05:30,24,24,200
2026-02-16T20:58:28+05:30,24,24,200
2026-02-16T20:58:34+05:30,24,24,200
2026-02-16T20:58:39+05:30,24,24,200
2026-02-16T20:58:45+05:30,24,24,200
2026-02-16T20:58:50+05:30,24,24,
2026-02-16T20:58:56+05:30,24,24,
2026-02-16T20:59:01+05:30,24,24,
2026-02-16T20:59:07+05:30,24,24,201
2026-02-16T20:59:12+05:30,24,24,201
2026-02-16T20:59:18+05:30,24,24,201
2026-02-16T20:59:23+05:30,24,24,200
2026-02-16T20:59:29+05:30,24,24,200
2026-02-16T20:59:35+05:30,24,24,200
2026-02-16T20:59:40+05:30,24,24,199
2026-02-16T20:59:46+05:30,24,24,199
2026-02-16T20:59:51+05:30,24,24,200
2026-02-16T20:59:57+05:30,24,24,200
2026-02-16T21:00:02+05:30,24,24,200
2026-02-16T21:00:08+05:30,24,24,199
2026-02-16T21:00:13+05:30,24,24,199
2026-02-16T21:00:19+05:30,24,24,199
2026-02-16T21:00:24+05:30,24,24,200
2026-02-16T21:00:30+05:30,24,24,200
2026-02-16T21:00:36+05:30,24,24,194
2026-02-16T21:00:41+05:30,24,24,194
2026-02-16T21:00:47+05:30,24,24,194
2026-02-16T21:00:53+05:30,24,24,197
2026-02-16T21:00:59+05:30,24,24,197
2026-02-16T21:01:04+05:30,24,24,197
2026-02-16T21:01:10+05:30,24,24,199
2026-02-16T21:01:16+05:30,24,24,199
2026-02-16T21:01:21+05:30,24,24,199
2026-02-16T21:01:27+05:30,24,24,199
2026-02-16T21:01:32+05:30,24,24,199
2026-02-16T21:01:38+05:30,24,24,200
2026-02-16T21:01:43+05:30,24,24,200
2026-02-16T21:01:49+05:30,24,24,200
2026-02-16T21:01:55+05:30,24,24,200
2026-02-16T21:02:01+05:30,24,24,200
2026-02-16T21:02:06+05:30,24,24,200
2026-02-16T21:02:12+05:30,24,24,200
2026-02-16T21:02:17+05:30,24,24,200
2026-02-16T21:02:22+05:30,24,24,
2026-02-16T21:02:28+05:30,24,24,
2026-02-16T21:02:33+05:30,24,24,
2026-02-16T21:02:38+05:30,24,24,200
2026-02-16T21:02:44+05:30,24,24,200
2026-02-16T21:02:50+05:30,24,24,200
2026-02-16T21:02:55+05:30,24,24,199
2026-02-16T21:03:01+05:30,24,24,199
2026-02-16T21:03:06+05:30,24,24,200
2026-02-16T21:03:12+05:30,24,24,200
2026-02-16T21:03:17+05:30,24,24,200
2026-02-16T21:03:23+05:30,24,24,199
2026-02-16T21:03:28+05:30,24,24,199
2026-02-16T21:03:34+05:30,24,24,199
2026-02-16T21:03:40+05:30,24,24,200
2026-02-16T21:03:45+05:30,24,24,200
2026-02-16T21:03:52+05:30,24,24,196
2026-02-16T21:03:58+05:30,24,24,196
2026-02-16T21:04:03+05:30,24,24,196
2026-02-16T21:04:09+05:30,24,24,190
2026-02-16T21:04:15+05:30,24,24,190
2026-02-16T21:04:20+05:30,24,24,199
2026-02-16T21:04:26+05:30,24,24,199
2026-02-16T21:04:32+05:30,24,24,199
2026-02-16T21:04:37+05:30,24,24,200
2026-02-16T21:04:43+05:30,24,24,200
2026-02-16T21:04:48+05:30,24,24,200
2026-02-16T21:04:54+05:30,24,24,200
2026-02-16T21:04:59+05:30,24,24,200
2026-02-16T21:05:05+05:30,24,24,200
2026-02-16T21:05:11+05:30,24,24,200
2026-02-16T21:05:16+05:30,24,24,200
2026-02-16T21:05:22+05:30,24,24,200
2026-02-16T21:05:27+05:30,24,24,200
2026-02-16T21:05:33+05:30,24,24,200
2026-02-16T21:05:38+05:30,24,24,
2026-02-16T21:05:44+05:30,24,24,
2026-02-16T21:05:49+05:30,24,24,
2026-02-16T21:05:54+05:30,24,24,
2026-02-16T21:06:00+05:30,24,24,
2026-02-16T21:06:05+05:30,24,24,
2026-02-16T21:06:10+05:30,24,24,
2026-02-16T21:06:16+05:30,24,24,
2026-02-16T21:06:21+05:30,24,24,200
2026-02-16T21:06:27+05:30,24,24,200
2026-02-16T21:06:32+05:30,24,24,200
2026-02-16T21:06:38+05:30,24,24,200
2026-02-16T21:06:43+05:30,24,24,200
2026-02-16T21:06:49+05:30,24,24,200
2026-02-16T21:06:54+05:30,24,24,200
2026-02-16T21:07:00+05:30,24,24,200
2026-02-16T21:07:05+05:30,24,24,200
2026-02-16T21:07:12+05:30,24,24,200
2026-02-16T21:07:18+05:30,24,24,200
2026-02-16T21:07:24+05:30,24,24,197
2026-02-16T21:07:29+05:30,24,24,197
2026-02-16T21:07:35+05:30,24,24,197
2026-02-16T21:07:40+05:30,24,24,198
2026-02-16T21:07:46+05:30,24,24,198
2026-02-16T21:07:51+05:30,24,24,200
2026-02-16T21:07:57+05:30,24,24,200
2026-02-16T21:08:03+05:30,24,24,200
2026-02-16T21:08:08+05:30,24,24,200
2026-02-16T21:08:14+05:30,24,24,200
2026-02-16T21:08:19+05:30,24,24,200
2026-02-16T21:08:25+05:30,24,24,200
2026-02-16T21:08:31+05:30,24,24,200
2026-02-16T21:08:37+05:30,24,24,200
2026-02-16T21:08:42+05:30,24,24,200
2026-02-16T21:08:48+05:30,24,24,200
2026-02-16T21:08:53+05:30,24,24,200
2026-02-16T21:08:59+05:30,24,24,200
2026-02-16T21:09:04+05:30,24,24,200
2026-02-16T21:09:09+05:30,24,24,
2026-02-16T21:09:14+05:30,24,24,
2026-02-16T21:09:20+05:30,24,24,
2026-02-16T21:09:25+05:30,24,24,
2026-02-16T21:09:30+05:30,24,24,
2026-02-16T21:09:35+05:30,24,24,
2026-02-16T21:09:41+05:30,24,24,
2026-02-16T21:09:46+05:30,24,24,
2026-02-16T21:09:52+05:30,24,24,200
