timestamp,phase,action
2026-02-16T20:53:40+05:30,high,start
2026-02-16T20:55:20+05:30,high,end
2026-02-16T20:55:20+05:30,low,start
2026-02-16T20:57:00+05:30,low,end
2026-02-16T20:57:00+05:30,high,start
2026-02-16T20:58:40+05:30,high,end
2026-02-16T20:58:40+05:30,low,start
2026-02-16T21:00:20+05:30,low,end
2026-02-16T21:00:20+05:30,high,start
2026-02-16T21:02:01+05:30,high,end
2026-02-16T21:02:01+05:30,low,start
2026-02-16T21:03:41+05:30,low,end
2026-02-16T21:03:41+05:30,high,start
2026-02-16T21:05:24+05:30,high,end
2026-02-16T21:05:24+05:30,low,start
2026-02-16T21:07:04+05:30,low,end
2026-02-16T21:07:04+05:30,high,start
2026-02-16T21:08:45+05:30,high,end
2026-02-16T21:08:45+05:30,low,start
2026-02-16T21:10:25+05:30,low,end
