LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
42m         Normal    Starting                       node/kind-worker2                 
42m         Normal    Starting                       node/kind-worker                  
42m         Normal    Starting                       node/kind-control-plane           
42m         Normal    Starting                       node/kind-worker3                 
42m         Normal    Starting                       node/kind-control-plane           Starting kubelet.
42m         Normal    NodeHasSufficientMemory        node/kind-control-plane           Node kind-control-plane status is now: NodeHasSufficientMemory
42m         Normal    NodeHasNoDiskPressure          node/kind-control-plane           Node kind-control-plane status is now: NodeHasNoDiskPressure
42m         Normal    NodeHasSufficientPID           node/kind-control-plane           Node kind-control-plane status is now: NodeHasSufficientPID
42m         Normal    NodeAllocatableEnforced        node/kind-control-plane           Updated Node Allocatable limit across pods
42m         Normal    NodeAllocatableEnforced        node/kind-control-plane           Updated Node Allocatable limit across pods
42m         Normal    NodeHasSufficientMemory        node/kind-control-plane           Node kind-control-plane status is now: NodeHasSufficientMemory
42m         Normal    NodeHasNoDiskPressure          node/kind-control-plane           Node kind-control-plane status is now: NodeHasNoDiskPressure
42m         Normal    NodeHasSufficientPID           node/kind-control-plane           Node kind-control-plane status is now: NodeHasSufficientPID
42m         Normal    Starting                       node/kind-control-plane           Starting kubelet.
42m         Normal    RegisteredNode                 node/kind-control-plane           Node kind-control-plane event: Registered Node kind-control-plane in Controller
42m         Normal    NodeAllocatableEnforced        node/kind-worker2                 Updated Node Allocatable limit across pods
42m         Normal    NodeHasNoDiskPressure          node/kind-worker                  Node kind-worker status is now: NodeHasNoDiskPressure
42m         Normal    Starting                       node/kind-worker3                 Starting kubelet.
42m         Normal    NodeHasSufficientPID           node/kind-worker3                 Node kind-worker3 status is now: NodeHasSufficientPID
42m         Normal    NodeHasNoDiskPressure          node/kind-worker3                 Node kind-worker3 status is now: NodeHasNoDiskPressure
42m         Normal    NodeHasSufficientPID           node/kind-worker2                 Node kind-worker2 status is now: NodeHasSufficientPID
42m         Normal    NodeHasNoDiskPressure          node/kind-worker2                 Node kind-worker2 status is now: NodeHasNoDiskPressure
42m         Normal    NodeHasSufficientMemory        node/kind-worker2                 Node kind-worker2 status is now: NodeHasSufficientMemory
42m         Normal    NodeAllocatableEnforced        node/kind-worker3                 Updated Node Allocatable limit across pods
42m         Normal    CIDRAssignmentFailed           node/kind-worker3                 Node kind-worker3 status is now: CIDRAssignmentFailed
42m         Normal    NodeHasSufficientMemory        node/kind-worker3                 Node kind-worker3 status is now: NodeHasSufficientMemory
42m         Normal    NodeAllocatableEnforced        node/kind-worker                  Updated Node Allocatable limit across pods
42m         Normal    NodeHasSufficientPID           node/kind-worker                  Node kind-worker status is now: NodeHasSufficientPID
42m         Normal    NodeHasSufficientMemory        node/kind-worker                  Node kind-worker status is now: NodeHasSufficientMemory
42m         Normal    RegisteredNode                 node/kind-worker3                 Node kind-worker3 event: Registered Node kind-worker3 in Controller
42m         Normal    RegisteredNode                 node/kind-worker                  Node kind-worker event: Registered Node kind-worker in Controller
42m         Normal    RegisteredNode                 node/kind-worker2                 Node kind-worker2 event: Registered Node kind-worker2 in Controller
42m         Normal    NodeReady                      node/kind-control-plane           Node kind-control-plane status is now: NodeReady
42m         Normal    NodeReady                      node/kind-worker3                 Node kind-worker3 status is now: NodeReady
42m         Normal    NodeReady                      node/kind-worker                  Node kind-worker status is now: NodeReady
42m         Normal    NodeReady                      node/kind-worker2                 Node kind-worker2 status is now: NodeReady
34m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 0 to 4
34m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-sg4nw       Successfully assigned default/cpu-app-bcc7f4b9c-sg4nw to kind-worker2
34m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-dscv9       Successfully assigned default/cpu-app-bcc7f4b9c-dscv9 to kind-worker3
34m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-4wnw5       Successfully assigned default/cpu-app-bcc7f4b9c-4wnw5 to kind-worker
34m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cl466       Successfully assigned default/cpu-app-bcc7f4b9c-cl466 to kind-worker2
34m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-cl466
34m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-dscv9
34m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-sg4nw
34m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-4wnw5
34m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-cl466       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
34m         Normal    Started                        pod/cpu-app-bcc7f4b9c-cl466       Container started
34m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-dscv9       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
34m         Normal    Created                        pod/cpu-app-bcc7f4b9c-dscv9       Container created
34m         Normal    Started                        pod/cpu-app-bcc7f4b9c-dscv9       Container started
34m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-sg4nw       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
34m         Normal    Created                        pod/cpu-app-bcc7f4b9c-sg4nw       Container created
