timestamp,pod,cpu,memory
2026-02-25T13:15:43+05:30,cpu-app-bcc7f4b9c-5mpf5,36m,13Mi
2026-02-25T13:15:43+05:30,cpu-app-bcc7f4b9c-gxmd2,40m,13Mi
2026-02-25T13:15:43+05:30,cpu-app-bcc7f4b9c-hwvql,13m,13Mi
2026-02-25T13:15:43+05:30,cpu-app-bcc7f4b9c-j2qww,11m,13Mi
2026-02-25T13:15:49+05:30,cpu-app-bcc7f4b9c-5mpf5,36m,13Mi
2026-02-25T13:15:49+05:30,cpu-app-bcc7f4b9c-gxmd2,40m,13Mi
2026-02-25T13:15:49+05:30,cpu-app-bcc7f4b9c-hwvql,13m,13Mi
2026-02-25T13:15:49+05:30,cpu-app-bcc7f4b9c-j2qww,11m,13Mi
2026-02-25T13:15:54+05:30,cpu-app-bcc7f4b9c-5mpf5,36m,13Mi
2026-02-25T13:15:54+05:30,cpu-app-bcc7f4b9c-gxmd2,40m,13Mi
2026-02-25T13:15:54+05:30,cpu-app-bcc7f4b9c-hwvql,13m,13Mi
2026-02-25T13:15:54+05:30,cpu-app-bcc7f4b9c-j2qww,11m,13Mi
2026-02-25T13:15:59+05:30,cpu-app-bcc7f4b9c-5mpf5,36m,13Mi
2026-02-25T13:15:59+05:30,cpu-app-bcc7f4b9c-gxmd2,40m,13Mi
2026-02-25T13:15:59+05:30,cpu-app-bcc7f4b9c-hwvql,13m,13Mi
2026-02-25T13:15:59+05:30,cpu-app-bcc7f4b9c-j2qww,11m,13Mi
2026-02-25T13:16:04+05:30,cpu-app-bcc7f4b9c-5mpf5,36m,13Mi
2026-02-25T13:16:04+05:30,cpu-app-bcc7f4b9c-gxmd2,40m,13Mi
2026-02-25T13:16:04+05:30,cpu-app-bcc7f4b9c-hwvql,13m,13Mi
2026-02-25T13:16:04+05:30,cpu-app-bcc7f4b9c-j2qww,11m,13Mi
2026-02-25T13:16:09+05:30,cpu-app-bcc7f4b9c-5mpf5,36m,13Mi
2026-02-25T13:16:09+05:30,cpu-app-bcc7f4b9c-gxmd2,40m,13Mi
2026-02-25T13:16:09+05:30,cpu-app-bcc7f4b9c-hwvql,13m,13Mi
2026-02-25T13:16:09+05:30,cpu-app-bcc7f4b9c-j2qww,11m,13Mi
2026-02-25T13:16:14+05:30,cpu-app-bcc7f4b9c-5mpf5,36m,13Mi
2026-02-25T13:16:14+05:30,cpu-app-bcc7f4b9c-gxmd2,40m,13Mi
2026-02-25T13:16:14+05:30,cpu-app-bcc7f4b9c-hwvql,13m,13Mi
2026-02-25T13:16:14+05:30,cpu-app-bcc7f4b9c-j2qww,11m,13Mi
