LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
40m         Normal    Starting                       node/kind-worker                  
40m         Normal    Starting                       node/kind-control-plane           
40m         Normal    Starting                       node/kind-worker2                 
40m         Normal    Starting                       node/kind-worker3                 
40m         Normal    NodeAllocatableEnforced        node/kind-control-plane           Updated Node Allocatable limit across pods
40m         Normal    NodeHasSufficientMemory        node/kind-control-plane           Node kind-control-plane status is now: NodeHasSufficientMemory
40m         Normal    Starting                       node/kind-control-plane           Starting kubelet.
40m         Normal    NodeHasNoDiskPressure          node/kind-control-plane           Node kind-control-plane status is now: NodeHasNoDiskPressure
40m         Normal    NodeHasSufficientPID           node/kind-control-plane           Node kind-control-plane status is now: NodeHasSufficientPID
40m         Normal    NodeHasNoDiskPressure          node/kind-control-plane           Node kind-control-plane status is now: NodeHasNoDiskPressure
40m         Normal    Starting                       node/kind-control-plane           Starting kubelet.
40m         Normal    NodeAllocatableEnforced        node/kind-control-plane           Updated Node Allocatable limit across pods
40m         Normal    NodeHasSufficientMemory        node/kind-control-plane           Node kind-control-plane status is now: NodeHasSufficientMemory
40m         Normal    NodeHasSufficientPID           node/kind-control-plane           Node kind-control-plane status is now: NodeHasSufficientPID
40m         Normal    RegisteredNode                 node/kind-control-plane           Node kind-control-plane event: Registered Node kind-control-plane in Controller
40m         Normal    NodeHasSufficientMemory        node/kind-worker                  Node kind-worker status is now: NodeHasSufficientMemory
40m         Normal    NodeAllocatableEnforced        node/kind-worker3                 Updated Node Allocatable limit across pods
40m         Normal    NodeHasNoDiskPressure          node/kind-worker3                 Node kind-worker3 status is now: NodeHasNoDiskPressure
40m         Normal    NodeHasSufficientMemory        node/kind-worker3                 Node kind-worker3 status is now: NodeHasSufficientMemory
40m         Normal    Starting                       node/kind-worker3                 Starting kubelet.
40m         Normal    NodeHasSufficientMemory        node/kind-worker2                 Node kind-worker2 status is now: NodeHasSufficientMemory
40m         Normal    NodeHasNoDiskPressure          node/kind-worker2                 Node kind-worker2 status is now: NodeHasNoDiskPressure
40m         Normal    NodeHasSufficientPID           node/kind-worker2                 Node kind-worker2 status is now: NodeHasSufficientPID
40m         Normal    NodeAllocatableEnforced        node/kind-worker2                 Updated Node Allocatable limit across pods
40m         Normal    NodeAllocatableEnforced        node/kind-worker                  Updated Node Allocatable limit across pods
40m         Normal    NodeHasSufficientPID           node/kind-worker                  Node kind-worker status is now: NodeHasSufficientPID
40m         Normal    NodeHasNoDiskPressure          node/kind-worker                  Node kind-worker status is now: NodeHasNoDiskPressure
40m         Normal    NodeHasSufficientPID           node/kind-worker3                 Node kind-worker3 status is now: NodeHasSufficientPID
40m         Normal    CIDRAssignmentFailed           node/kind-worker3                 Node kind-worker3 status is now: CIDRAssignmentFailed
40m         Normal    RegisteredNode                 node/kind-worker3                 Node kind-worker3 event: Registered Node kind-worker3 in Controller
40m         Normal    RegisteredNode                 node/kind-worker2                 Node kind-worker2 event: Registered Node kind-worker2 in Controller
40m         Normal    RegisteredNode                 node/kind-worker                  Node kind-worker event: Registered Node kind-worker in Controller
40m         Normal    NodeReady                      node/kind-control-plane           Node kind-control-plane status is now: NodeReady
39m         Normal    NodeReady                      node/kind-worker3                 Node kind-worker3 status is now: NodeReady
39m         Normal    NodeReady                      node/kind-worker2                 Node kind-worker2 status is now: NodeReady
39m         Normal    NodeReady                      node/kind-worker                  Node kind-worker status is now: NodeReady
31m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 0 to 4
31m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cl466       Successfully assigned default/cpu-app-bcc7f4b9c-cl466 to kind-worker2
31m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-dscv9       Successfully assigned default/cpu-app-bcc7f4b9c-dscv9 to kind-worker3
31m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-sg4nw
31m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-4wnw5       Successfully assigned default/cpu-app-bcc7f4b9c-4wnw5 to kind-worker
31m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-cl466
31m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-4wnw5
31m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-sg4nw       Successfully assigned default/cpu-app-bcc7f4b9c-sg4nw to kind-worker2
31m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-dscv9
31m         Normal    Created                        pod/cpu-app-bcc7f4b9c-sg4nw       Container created
31m         Normal    Started                        pod/cpu-app-bcc7f4b9c-sg4nw       Container started
31m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-dscv9       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
31m         Normal    Created                        pod/cpu-app-bcc7f4b9c-dscv9       Container created
31m         Normal    Started                        pod/cpu-app-bcc7f4b9c-4wnw5       Container started
31m         Normal    Created                        pod/cpu-app-bcc7f4b9c-4wnw5       Container created
31m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-4wnw5       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
