timestamp,phase,action
2026-02-17T16:44:17+05:30,high,start
2026-02-17T16:45:57+05:30,high,end
2026-02-17T16:45:57+05:30,low,start
2026-02-17T16:47:37+05:30,low,end
2026-02-17T16:47:37+05:30,high,start
2026-02-17T16:49:17+05:30,high,end
2026-02-17T16:49:17+05:30,low,start
2026-02-17T16:50:57+05:30,low,end
2026-02-17T16:50:57+05:30,high,start
2026-02-17T16:52:37+05:30,high,end
2026-02-17T16:52:37+05:30,low,start
2026-02-17T16:54:17+05:30,low,end
2026-02-17T16:54:17+05:30,high,start
2026-02-17T16:55:57+05:30,high,end
2026-02-17T16:55:57+05:30,low,start
2026-02-17T16:57:37+05:30,low,end
2026-02-17T16:57:37+05:30,high,start
2026-02-17T16:59:17+05:30,high,end
2026-02-17T16:59:17+05:30,low,start
2026-02-17T17:00:57+05:30,low,end
