timestamp,pod,cpu,memory
2026-02-17T16:44:43+05:30,cpu-app-bcc7f4b9c-76mgc,34m,13Mi
2026-02-17T16:44:43+05:30,cpu-app-bcc7f4b9c-flzbr,12m,13Mi
2026-02-17T16:44:43+05:30,cpu-app-bcc7f4b9c-gpqmv,34m,13Mi
2026-02-17T16:44:43+05:30,cpu-app-bcc7f4b9c-h8885,32m,14Mi
2026-02-17T16:44:48+05:30,cpu-app-bcc7f4b9c-76mgc,34m,13Mi
2026-02-17T16:44:48+05:30,cpu-app-bcc7f4b9c-flzbr,12m,13Mi
2026-02-17T16:44:48+05:30,cpu-app-bcc7f4b9c-gpqmv,34m,13Mi
2026-02-17T16:44:48+05:30,cpu-app-bcc7f4b9c-h8885,32m,14Mi
2026-02-17T16:44:53+05:30,cpu-app-bcc7f4b9c-76mgc,34m,13Mi
2026-02-17T16:44:53+05:30,cpu-app-bcc7f4b9c-flzbr,12m,13Mi
2026-02-17T16:44:53+05:30,cpu-app-bcc7f4b9c-gpqmv,34m,13Mi
2026-02-17T16:44:53+05:30,cpu-app-bcc7f4b9c-h8885,32m,14Mi
2026-02-17T16:44:58+05:30,cpu-app-bcc7f4b9c-76mgc,34m,13Mi
2026-02-17T16:44:58+05:30,cpu-app-bcc7f4b9c-flzbr,12m,13Mi
2026-02-17T16:44:58+05:30,cpu-app-bcc7f4b9c-gpqmv,34m,13Mi
2026-02-17T16:44:58+05:30,cpu-app-bcc7f4b9c-h8885,32m,14Mi
2026-02-17T16:45:03+05:30,cpu-app-bcc7f4b9c-76mgc,34m,13Mi
2026-02-17T16:45:03+05:30,cpu-app-bcc7f4b9c-flzbr,12m,13Mi
2026-02-17T16:45:03+05:30,cpu-app-bcc7f4b9c-gpqmv,34m,13Mi
2026-02-17T16:45:03+05:30,cpu-app-bcc7f4b9c-h8885,32m,14Mi
2026-02-17T16:45:08+05:30,cpu-app-bcc7f4b9c-76mgc,34m,13Mi
2026-02-17T16:45:08+05:30,cpu-app-bcc7f4b9c-flzbr,12m,13Mi
2026-02-17T16:45:08+05:30,cpu-app-bcc7f4b9c-gpqmv,34m,13Mi
2026-02-17T16:45:08+05:30,cpu-app-bcc7f4b9c-h8885,32m,14Mi
2026-02-17T16:45:13+05:30,cpu-app-bcc7f4b9c-76mgc,34m,13Mi
2026-02-17T16:45:13+05:30,cpu-app-bcc7f4b9c-flzbr,12m,13Mi
2026-02-17T16:45:13+05:30,cpu-app-bcc7f4b9c-gpqmv,34m,13Mi
2026-02-17T16:45:13+05:30,cpu-app-bcc7f4b9c-h8885,32m,14Mi
2026-02-17T16:45:18+05:30,cpu-app-bcc7f4b9c-76mgc,34m,13Mi
2026-02-17T16:45:18+05:30,cpu-app-bcc7f4b9c-flzbr,12m,13Mi
2026-02-17T16:45:18+05:30,cpu-app-bcc7f4b9c-gpqmv,34m,13Mi
2026-02-17T16:45:18+05:30,cpu-app-bcc7f4b9c-h8885,32m,14Mi
2026-02-17T16:45:24+05:30,cpu-app-bcc7f4b9c-76mgc,34m,13Mi
2026-02-17T16:45:24+05:30,cpu-app-bcc7f4b9c-flzbr,12m,13Mi
2026-02-17T16:45:24+05:30,cpu-app-bcc7f4b9c-gpqmv,34m,13Mi
2026-02-17T16:45:24+05:30,cpu-app-bcc7f4b9c-h8885,32m,14Mi
2026-02-17T16:45:29+05:30,cpu-app-bcc7f4b9c-76mgc,34m,13Mi
2026-02-17T16:45:29+05:30,cpu-app-bcc7f4b9c-flzbr,12m,13Mi
2026-02-17T16:45:29+05:30,cpu-app-bcc7f4b9c-gpqmv,34m,13Mi
2026-02-17T16:45:29+05:30,cpu-app-bcc7f4b9c-h8885,32m,14Mi
2026-02-17T16:45:34+05:30,cpu-app-bcc7f4b9c-76mgc,163m,13Mi
2026-02-17T16:45:34+05:30,cpu-app-bcc7f4b9c-flzbr,162m,15Mi
2026-02-17T16:45:34+05:30,cpu-app-bcc7f4b9c-gpqmv,147m,14Mi
2026-02-17T16:45:34+05:30,cpu-app-bcc7f4b9c-h8885,168m,13Mi
2026-02-17T16:45:34+05:30,cpu-app-bcc7f4b9c-qv4zq,99m,13Mi
