LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-77h72       Successfully assigned default/cpu-app-bcc7f4b9c-77h72 to kind-worker3
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-slhq6       Successfully assigned default/cpu-app-bcc7f4b9c-slhq6 to kind-worker3
14m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-487n8       Successfully assigned default/cpu-app-bcc7f4b9c-487n8 to kind-worker3
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-9gf57       Successfully assigned default/cpu-app-bcc7f4b9c-9gf57 to kind-worker3
27m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-bhkrq       Successfully assigned default/cpu-app-bcc7f4b9c-bhkrq to kind-worker2
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-br2dp       Successfully assigned default/cpu-app-bcc7f4b9c-br2dp to kind-worker
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8fv28       Successfully assigned default/cpu-app-bcc7f4b9c-8fv28 to kind-worker
33m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-4lx7p       Successfully assigned default/cpu-app-bcc7f4b9c-4lx7p to kind-worker2
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-9fpln       Successfully assigned default/cpu-app-bcc7f4b9c-9fpln to kind-worker3
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-c95dr       Successfully assigned default/cpu-app-bcc7f4b9c-c95dr to kind-worker2
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cfwwj       Successfully assigned default/cpu-app-bcc7f4b9c-cfwwj to kind-worker3
11m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cwd94       Successfully assigned default/cpu-app-bcc7f4b9c-cwd94 to kind-worker
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-9d2g5       Successfully assigned default/cpu-app-bcc7f4b9c-9d2g5 to kind-worker
17m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cx82n       Successfully assigned default/cpu-app-bcc7f4b9c-cx82n to kind-worker
32m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-j5cm6       Successfully assigned default/cpu-app-bcc7f4b9c-j5cm6 to kind-worker3
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-4z94b       Successfully assigned default/cpu-app-bcc7f4b9c-4z94b to kind-worker2
11m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-9blwb       Successfully assigned default/cpu-app-bcc7f4b9c-9blwb to kind-worker2
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-xq7cp       Successfully assigned default/cpu-app-bcc7f4b9c-xq7cp to kind-worker
35m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-dfkkv       Successfully assigned default/cpu-app-bcc7f4b9c-dfkkv to kind-worker
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-xc2t2       Successfully assigned default/cpu-app-bcc7f4b9c-xc2t2 to kind-worker2
15m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-56r2c       Successfully assigned default/cpu-app-bcc7f4b9c-56r2c to kind-worker2
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-x8w8f       Successfully assigned default/cpu-app-bcc7f4b9c-x8w8f to kind-worker3
15m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-x4q9v       Successfully assigned default/cpu-app-bcc7f4b9c-x4q9v to kind-worker
17m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-wtsw4       Successfully assigned default/cpu-app-bcc7f4b9c-wtsw4 to kind-worker3
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-djdsc       Successfully assigned default/cpu-app-bcc7f4b9c-djdsc to kind-worker3
27m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-582xn       Successfully assigned default/cpu-app-bcc7f4b9c-582xn to kind-worker3
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-wnwsc       Successfully assigned default/cpu-app-bcc7f4b9c-wnwsc to kind-worker2
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-wfblc       Successfully assigned default/cpu-app-bcc7f4b9c-wfblc to kind-worker2
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-wd5wk       Successfully assigned default/cpu-app-bcc7f4b9c-wd5wk to kind-worker3
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-dvlxx       Successfully assigned default/cpu-app-bcc7f4b9c-dvlxx to kind-worker3
35m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-5cppb       Successfully assigned default/cpu-app-bcc7f4b9c-5cppb to kind-worker2
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-fcdxt       Successfully assigned default/cpu-app-bcc7f4b9c-fcdxt to kind-worker
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-vd8gj       Successfully assigned default/cpu-app-bcc7f4b9c-vd8gj to kind-worker2
35m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-v9lp7       Successfully assigned default/cpu-app-bcc7f4b9c-v9lp7 to kind-worker3
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-stxjp       Successfully assigned default/cpu-app-bcc7f4b9c-stxjp to kind-worker3
9m7s        Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-j48w5       Successfully assigned default/cpu-app-bcc7f4b9c-j48w5 to kind-worker2
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-s8htn       Successfully assigned default/cpu-app-bcc7f4b9c-s8htn to kind-worker
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-5mbxl       Successfully assigned default/cpu-app-bcc7f4b9c-5mbxl to kind-worker3
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-rrn7s       Successfully assigned default/cpu-app-bcc7f4b9c-rrn7s to kind-worker
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-97pdg       Successfully assigned default/cpu-app-bcc7f4b9c-97pdg to kind-worker3
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-fp2mg       Successfully assigned default/cpu-app-bcc7f4b9c-fp2mg to kind-worker
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-fq5b9       Successfully assigned default/cpu-app-bcc7f4b9c-fq5b9 to kind-worker2
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-64fsn       Successfully assigned default/cpu-app-bcc7f4b9c-64fsn to kind-worker
33m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8zl7g       Successfully assigned default/cpu-app-bcc7f4b9c-8zl7g to kind-worker
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-rbgz8       Successfully assigned default/cpu-app-bcc7f4b9c-rbgz8 to kind-worker2
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-gnsdg       Successfully assigned default/cpu-app-bcc7f4b9c-gnsdg to kind-worker2
17m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-h4qwc       Successfully assigned default/cpu-app-bcc7f4b9c-h4qwc to kind-worker2
33m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-6nwdm       Successfully assigned default/cpu-app-bcc7f4b9c-6nwdm to kind-worker3
15m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-h9hqz       Successfully assigned default/cpu-app-bcc7f4b9c-h9hqz to kind-worker
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-prgtp       Successfully assigned default/cpu-app-bcc7f4b9c-prgtp to kind-worker2
