timestamp,phase,action
2026-02-25T16:34:07+05:30,high,start
2026-02-25T16:35:47+05:30,high,end
2026-02-25T16:35:47+05:30,low,start
2026-02-25T16:37:27+05:30,low,end
2026-02-25T16:37:27+05:30,high,start
2026-02-25T16:39:07+05:30,high,end
2026-02-25T16:39:07+05:30,low,start
2026-02-25T16:40:47+05:30,low,end
2026-02-25T16:40:47+05:30,high,start
2026-02-25T16:42:27+05:30,high,end
2026-02-25T16:42:27+05:30,low,start
2026-02-25T16:44:07+05:30,low,end
2026-02-25T16:44:07+05:30,high,start
2026-02-25T16:45:47+05:30,high,end
2026-02-25T16:45:47+05:30,low,start
2026-02-25T16:47:27+05:30,low,end
2026-02-25T16:47:27+05:30,high,start
2026-02-25T16:49:07+05:30,high,end
2026-02-25T16:49:07+05:30,low,start
2026-02-25T16:50:47+05:30,low,end
