timestamp,pod,cpu,memory
2026-02-17T16:07:59+05:30,cpu-app-bcc7f4b9c-cx82n,25m,13Mi
2026-02-17T16:07:59+05:30,cpu-app-bcc7f4b9c-h4qwc,35m,13Mi
2026-02-17T16:07:59+05:30,cpu-app-bcc7f4b9c-nrlbp,30m,13Mi
2026-02-17T16:07:59+05:30,cpu-app-bcc7f4b9c-wtsw4,36m,13Mi
2026-02-17T16:08:05+05:30,cpu-app-bcc7f4b9c-cx82n,25m,13Mi
2026-02-17T16:08:05+05:30,cpu-app-bcc7f4b9c-h4qwc,35m,13Mi
2026-02-17T16:08:05+05:30,cpu-app-bcc7f4b9c-nrlbp,30m,13Mi
2026-02-17T16:08:05+05:30,cpu-app-bcc7f4b9c-wtsw4,36m,13Mi
2026-02-17T16:08:10+05:30,cpu-app-bcc7f4b9c-cx82n,25m,13Mi
2026-02-17T16:08:10+05:30,cpu-app-bcc7f4b9c-h4qwc,35m,13Mi
2026-02-17T16:08:10+05:30,cpu-app-bcc7f4b9c-nrlbp,30m,13Mi
2026-02-17T16:08:10+05:30,cpu-app-bcc7f4b9c-wtsw4,36m,13Mi
2026-02-17T16:08:15+05:30,cpu-app-bcc7f4b9c-cx82n,25m,13Mi
2026-02-17T16:08:15+05:30,cpu-app-bcc7f4b9c-h4qwc,35m,13Mi
2026-02-17T16:08:15+05:30,cpu-app-bcc7f4b9c-nrlbp,30m,13Mi
2026-02-17T16:08:15+05:30,cpu-app-bcc7f4b9c-wtsw4,36m,13Mi
2026-02-17T16:08:20+05:30,cpu-app-bcc7f4b9c-cx82n,25m,13Mi
2026-02-17T16:08:20+05:30,cpu-app-bcc7f4b9c-h4qwc,35m,13Mi
2026-02-17T16:08:20+05:30,cpu-app-bcc7f4b9c-nrlbp,30m,13Mi
2026-02-17T16:08:20+05:30,cpu-app-bcc7f4b9c-wtsw4,36m,13Mi
2026-02-17T16:08:25+05:30,cpu-app-bcc7f4b9c-cx82n,25m,13Mi
