timestamp,phase,action
2026-02-17T16:26:08+05:30,high,start
2026-02-17T16:27:48+05:30,high,end
2026-02-17T16:27:48+05:30,low,start
2026-02-17T16:29:28+05:30,low,end
2026-02-17T16:29:28+05:30,high,start
2026-02-17T16:31:08+05:30,high,end
2026-02-17T16:31:08+05:30,low,start
2026-02-17T16:32:48+05:30,low,end
2026-02-17T16:32:48+05:30,high,start
2026-02-17T16:34:28+05:30,high,end
2026-02-17T16:34:28+05:30,low,start
2026-02-17T16:36:08+05:30,low,end
2026-02-17T16:36:08+05:30,high,start
2026-02-17T16:37:48+05:30,high,end
2026-02-17T16:37:48+05:30,low,start
2026-02-17T16:39:28+05:30,low,end
2026-02-17T16:39:28+05:30,high,start
2026-02-17T16:41:08+05:30,high,end
2026-02-17T16:41:08+05:30,low,start
2026-02-17T16:42:48+05:30,low,end
