timestamp,pod,cpu,memory
2026-02-17T16:26:08+05:30,cpu-app-bcc7f4b9c-2lhxw,42m,13Mi
2026-02-17T16:26:08+05:30,cpu-app-bcc7f4b9c-6bdcq,43m,13Mi
2026-02-17T16:26:08+05:30,cpu-app-bcc7f4b9c-cml59,50m,13Mi
2026-02-17T16:26:08+05:30,cpu-app-bcc7f4b9c-lwrgj,42m,13Mi
2026-02-17T16:26:13+05:30,cpu-app-bcc7f4b9c-2lhxw,42m,13Mi
2026-02-17T16:26:13+05:30,cpu-app-bcc7f4b9c-6bdcq,43m,13Mi
2026-02-17T16:26:13+05:30,cpu-app-bcc7f4b9c-cml59,50m,13Mi
2026-02-17T16:26:13+05:30,cpu-app-bcc7f4b9c-lwrgj,42m,13Mi
2026-02-17T16:26:19+05:30,cpu-app-bcc7f4b9c-2lhxw,42m,13Mi
2026-02-17T16:26:19+05:30,cpu-app-bcc7f4b9c-6bdcq,43m,13Mi
2026-02-17T16:26:19+05:30,cpu-app-bcc7f4b9c-cml59,50m,13Mi
2026-02-17T16:26:19+05:30,cpu-app-bcc7f4b9c-lwrgj,42m,13Mi
2026-02-17T16:26:24+05:30,cpu-app-bcc7f4b9c-2lhxw,42m,13Mi
2026-02-17T16:26:24+05:30,cpu-app-bcc7f4b9c-6bdcq,43m,13Mi
2026-02-17T16:26:24+05:30,cpu-app-bcc7f4b9c-cml59,50m,13Mi
2026-02-17T16:26:24+05:30,cpu-app-bcc7f4b9c-lwrgj,42m,13Mi
2026-02-17T16:26:29+05:30,cpu-app-bcc7f4b9c-2lhxw,42m,13Mi
2026-02-17T16:26:29+05:30,cpu-app-bcc7f4b9c-6bdcq,43m,13Mi
2026-02-17T16:26:29+05:30,cpu-app-bcc7f4b9c-cml59,50m,13Mi
2026-02-17T16:26:29+05:30,cpu-app-bcc7f4b9c-lwrgj,42m,13Mi
2026-02-17T16:26:34+05:30,cpu-app-bcc7f4b9c-2lhxw,57m,13Mi
2026-02-17T16:26:34+05:30,cpu-app-bcc7f4b9c-6bdcq,43m,13Mi
2026-02-17T16:26:34+05:30,cpu-app-bcc7f4b9c-cml59,48m,13Mi
2026-02-17T16:26:34+05:30,cpu-app-bcc7f4b9c-lwrgj,61m,16Mi
2026-02-17T16:26:39+05:30,cpu-app-bcc7f4b9c-2lhxw,57m,13Mi
2026-02-17T16:26:39+05:30,cpu-app-bcc7f4b9c-6bdcq,43m,13Mi
2026-02-17T16:26:39+05:30,cpu-app-bcc7f4b9c-cml59,48m,13Mi
2026-02-17T16:26:39+05:30,cpu-app-bcc7f4b9c-lwrgj,61m,16Mi
2026-02-17T16:26:44+05:30,cpu-app-bcc7f4b9c-2lhxw,57m,13Mi
2026-02-17T16:26:44+05:30,cpu-app-bcc7f4b9c-6bdcq,43m,13Mi
2026-02-17T16:26:44+05:30,cpu-app-bcc7f4b9c-cml59,48m,13Mi
2026-02-17T16:26:44+05:30,cpu-app-bcc7f4b9c-lwrgj,61m,16Mi
2026-02-17T16:26:49+05:30,cpu-app-bcc7f4b9c-2lhxw,57m,13Mi
2026-02-17T16:26:49+05:30,cpu-app-bcc7f4b9c-6bdcq,43m,13Mi
2026-02-17T16:26:49+05:30,cpu-app-bcc7f4b9c-cml59,48m,13Mi
2026-02-17T16:26:49+05:30,cpu-app-bcc7f4b9c-lwrgj,61m,16Mi
