current_replicas,desired_replicas,maxScaleDownStep,replica_gap,theoretical_cycles,time_lower_s,time_upper_s,convergence_range
4,2,1,2,2,10,30,10–30 s
4,2,2,2,1,5,15,5–15 s
4,2,3,2,1,5,15,5–15 s
4,2,4,2,1,5,15,5–15 s
6,2,1,4,4,20,60,20–60 s
6,2,2,4,2,10,30,10–30 s
6,2,3,4,2,10,30,10–30 s
6,2,4,4,1,5,15,5–15 s
8,2,1,6,6,30,90,30–90 s
8,2,2,6,3,15,45,15–45 s
8,2,3,6,2,10,30,10–30 s
8,2,4,6,2,10,30,10–30 s
10,2,1,8,8,40,120,40–120 s
10,2,2,8,4,20,60,20–60 s
10,2,3,8,3,15,45,15–45 s
10,2,4,8,2,10,30,10–30 s
12,2,1,10,10,50,150,50–150 s
12,2,2,10,5,25,75,25–75 s
12,2,3,10,4,20,60,20–60 s
12,2,4,10,3,15,45,15–45 s
12,4,1,8,8,40,120,40–120 s
12,4,2,8,4,20,60,20–60 s
12,4,4,8,2,10,30,10–30 s
15,2,1,13,13,65,195,65–195 s
15,2,2,13,7,35,105,35–105 s
15,2,3,13,5,25,75,25–75 s
15,2,4,13,4,20,60,20–60 s
15,5,1,10,10,50,150,50–150 s
15,5,2,10,5,25,75,25–75 s
15,5,4,10,3,15,45,15–45 s
16,2,1,14,14,70,210,70–210 s
16,2,2,14,7,35,105,35–105 s
16,2,4,14,4,20,60,20–60 s
32,2,1,30,30,150,450,150–450 s
32,2,2,30,15,75,225,75–225 s
32,2,4,30,8,40,120,40–120 s
