LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
55m         Normal    Scheduled                      pod/cpu-app-f5984b7b8-gfzvw       Successfully assigned default/cpu-app-f5984b7b8-gfzvw to kind-worker3
55m         Normal    Scheduled                      pod/cpu-app-f5984b7b8-979qd       Successfully assigned default/cpu-app-f5984b7b8-979qd to kind-worker2
55m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-f5984b7b8 to 4
55m         Normal    Scheduled                      pod/cpu-app-f5984b7b8-2k5nk       Successfully assigned default/cpu-app-f5984b7b8-2k5nk to kind-worker
55m         Normal    SuccessfulCreate               replicaset/cpu-app-f5984b7b8      Created pod: cpu-app-f5984b7b8-979qd
55m         Normal    Scheduled                      pod/cpu-app-f5984b7b8-hpxbk       Successfully assigned default/cpu-app-f5984b7b8-hpxbk to kind-worker2
55m         Normal    SuccessfulCreate               replicaset/cpu-app-f5984b7b8      Created pod: cpu-app-f5984b7b8-2k5nk
55m         Normal    SuccessfulCreate               replicaset/cpu-app-f5984b7b8      Created pod: cpu-app-f5984b7b8-gfzvw
55m         Normal    SuccessfulCreate               replicaset/cpu-app-f5984b7b8      Created pod: cpu-app-f5984b7b8-hpxbk
55m         Normal    Pulled                         pod/cpu-app-f5984b7b8-979qd       Successfully pulled image "polinux/stress" in 5.95s (5.95s including waiting). Image size: 4041495 bytes.
55m         Normal    Pulled                         pod/cpu-app-f5984b7b8-hpxbk       Successfully pulled image "polinux/stress" in 1.852s (7.785s including waiting). Image size: 4041495 bytes.
55m         Normal    Pulled                         pod/cpu-app-f5984b7b8-gfzvw       Successfully pulled image "polinux/stress" in 7.515s (7.515s including waiting). Image size: 4041495 bytes.
55m         Normal    Pulled                         pod/cpu-app-f5984b7b8-2k5nk       Successfully pulled image "polinux/stress" in 8.163s (8.164s including waiting). Image size: 4041495 bytes.
55m         Normal    Pulled                         pod/cpu-app-f5984b7b8-gfzvw       Successfully pulled image "polinux/stress" in 1.466s (1.466s including waiting). Image size: 4041495 bytes.
55m         Normal    Pulled                         pod/cpu-app-f5984b7b8-979qd       Successfully pulled image "polinux/stress" in 1.581s (2.664s including waiting). Image size: 4041495 bytes.
55m         Normal    Pulled                         pod/cpu-app-f5984b7b8-2k5nk       Successfully pulled image "polinux/stress" in 1.527s (1.527s including waiting). Image size: 4041495 bytes.
