timestamp,phase,action
2026-02-16T20:35:54+05:30,high,start
2026-02-16T20:37:34+05:30,high,end
2026-02-16T20:37:34+05:30,low,start
2026-02-16T20:39:14+05:30,low,end
2026-02-16T20:39:14+05:30,high,start
2026-02-16T20:40:55+05:30,high,end
2026-02-16T20:40:55+05:30,low,start
2026-02-16T20:42:35+05:30,low,end
2026-02-16T20:42:35+05:30,high,start
2026-02-16T20:44:15+05:30,high,end
2026-02-16T20:44:15+05:30,low,start
2026-02-16T20:45:55+05:30,low,end
2026-02-16T20:45:55+05:30,high,start
2026-02-16T20:47:36+05:30,high,end
2026-02-16T20:47:36+05:30,low,start
2026-02-16T20:49:16+05:30,low,end
2026-02-16T20:49:16+05:30,high,start
2026-02-16T20:50:57+05:30,high,end
2026-02-16T20:50:57+05:30,low,start
2026-02-16T20:52:37+05:30,low,end
