timestamp,currentReplicas,desiredReplicas,currentCPUUtilizationPercent
2026-02-16T20:17:48+05:30,,0,
2026-02-16T20:17:54+05:30,,0,
2026-02-16T20:17:59+05:30,4,0,
2026-02-16T20:18:04+05:30,4,0,
2026-02-16T20:18:09+05:30,4,0,
2026-02-16T20:18:15+05:30,4,0,
2026-02-16T20:18:20+05:30,4,0,
2026-02-16T20:18:25+05:30,4,0,
2026-02-16T20:18:31+05:30,4,0,
2026-02-16T20:18:36+05:30,4,0,
2026-02-16T20:18:41+05:30,4,0,
2026-02-16T20:18:46+05:30,4,0,
2026-02-16T20:18:52+05:30,4,0,
2026-02-16T20:18:57+05:30,4,0,
2026-02-16T20:19:02+05:30,4,0,
2026-02-16T20:19:08+05:30,4,0,
2026-02-16T20:19:13+05:30,4,0,
2026-02-16T20:19:19+05:30,4,0,
2026-02-16T20:19:24+05:30,4,0,
2026-02-16T20:19:29+05:30,4,0,
2026-02-16T20:19:34+05:30,4,0,
2026-02-16T20:19:40+05:30,4,0,
2026-02-16T20:19:45+05:30,4,0,
2026-02-16T20:19:50+05:30,4,0,
2026-02-16T20:19:56+05:30,4,0,
2026-02-16T20:20:01+05:30,4,0,
2026-02-16T20:20:06+05:30,4,0,
2026-02-16T20:20:12+05:30,4,0,
2026-02-16T20:20:17+05:30,4,0,
2026-02-16T20:20:22+05:30,4,0,
2026-02-16T20:20:27+05:30,4,0,
2026-02-16T20:20:33+05:30,4,0,
2026-02-16T20:20:38+05:30,4,0,
2026-02-16T20:20:43+05:30,4,8,200
2026-02-16T20:20:49+05:30,4,8,200
2026-02-16T20:20:54+05:30,4,8,200
2026-02-16T20:20:59+05:30,8,10,200
2026-02-16T20:21:05+05:30,8,10,200
2026-02-16T20:21:10+05:30,8,10,200
2026-02-16T20:21:15+05:30,10,10,200
2026-02-16T20:21:21+05:30,10,10,200
2026-02-16T20:21:26+05:30,10,10,200
2026-02-16T20:21:32+05:30,10,10,200
2026-02-16T20:21:37+05:30,10,10,200
2026-02-16T20:21:42+05:30,10,10,200
2026-02-16T20:21:48+05:30,10,14,200
2026-02-16T20:21:53+05:30,10,14,200
2026-02-16T20:21:59+05:30,14,14,200
2026-02-16T20:22:04+05:30,14,14,200
2026-02-16T20:22:10+05:30,14,14,200
2026-02-16T20:22:15+05:30,14,14,200
2026-02-16T20:22:21+05:30,14,14,200
2026-02-16T20:22:26+05:30,14,14,200
2026-02-16T20:22:32+05:30,14,14,200
2026-02-16T20:22:37+05:30,14,14,200
2026-02-16T20:22:43+05:30,14,14,200
2026-02-16T20:22:48+05:30,14,24,200
2026-02-16T20:22:54+05:30,14,24,200
