timestamp,pod,cpu,memory
2026-02-25T13:11:00+05:30,cpu-app-bcc7f4b9c-dnbjn,31m,13Mi
2026-02-25T13:11:00+05:30,cpu-app-bcc7f4b9c-ggj2f,20m,13Mi
2026-02-25T13:11:00+05:30,cpu-app-bcc7f4b9c-vwcv5,22m,13Mi
2026-02-25T13:11:00+05:30,cpu-app-bcc7f4b9c-w6wzd,18m,13Mi
2026-02-25T13:11:06+05:30,cpu-app-bcc7f4b9c-dnbjn,31m,13Mi
2026-02-25T13:11:06+05:30,cpu-app-bcc7f4b9c-ggj2f,20m,13Mi
2026-02-25T13:11:06+05:30,cpu-app-bcc7f4b9c-vwcv5,22m,13Mi
2026-02-25T13:11:06+05:30,cpu-app-bcc7f4b9c-w6wzd,18m,13Mi
2026-02-25T13:11:11+05:30,cpu-app-bcc7f4b9c-dnbjn,31m,13Mi
2026-02-25T13:11:11+05:30,cpu-app-bcc7f4b9c-ggj2f,20m,13Mi
2026-02-25T13:11:11+05:30,cpu-app-bcc7f4b9c-vwcv5,22m,13Mi
2026-02-25T13:11:11+05:30,cpu-app-bcc7f4b9c-w6wzd,18m,13Mi
2026-02-25T13:11:16+05:30,cpu-app-bcc7f4b9c-dnbjn,31m,13Mi
2026-02-25T13:11:16+05:30,cpu-app-bcc7f4b9c-ggj2f,20m,13Mi
2026-02-25T13:11:16+05:30,cpu-app-bcc7f4b9c-vwcv5,22m,13Mi
2026-02-25T13:11:16+05:30,cpu-app-bcc7f4b9c-w6wzd,18m,13Mi
2026-02-25T13:11:21+05:30,cpu-app-bcc7f4b9c-dnbjn,31m,13Mi
2026-02-25T13:11:21+05:30,cpu-app-bcc7f4b9c-ggj2f,20m,13Mi
2026-02-25T13:11:21+05:30,cpu-app-bcc7f4b9c-vwcv5,22m,13Mi
2026-02-25T13:11:21+05:30,cpu-app-bcc7f4b9c-w6wzd,18m,13Mi
2026-02-25T13:11:26+05:30,cpu-app-bcc7f4b9c-dnbjn,31m,13Mi
2026-02-25T13:11:26+05:30,cpu-app-bcc7f4b9c-ggj2f,20m,13Mi
2026-02-25T13:11:26+05:30,cpu-app-bcc7f4b9c-vwcv5,22m,13Mi
2026-02-25T13:11:26+05:30,cpu-app-bcc7f4b9c-w6wzd,18m,13Mi
2026-02-25T13:11:31+05:30,cpu-app-bcc7f4b9c-dnbjn,31m,13Mi
2026-02-25T13:11:31+05:30,cpu-app-bcc7f4b9c-ggj2f,20m,13Mi
2026-02-25T13:11:31+05:30,cpu-app-bcc7f4b9c-vwcv5,22m,13Mi
2026-02-25T13:11:31+05:30,cpu-app-bcc7f4b9c-w6wzd,18m,13Mi
2026-02-25T13:11:36+05:30,cpu-app-bcc7f4b9c-dnbjn,31m,13Mi
2026-02-25T13:11:36+05:30,cpu-app-bcc7f4b9c-ggj2f,20m,13Mi
2026-02-25T13:11:36+05:30,cpu-app-bcc7f4b9c-vwcv5,22m,13Mi
2026-02-25T13:11:36+05:30,cpu-app-bcc7f4b9c-w6wzd,18m,13Mi
2026-02-25T13:11:41+05:30,cpu-app-bcc7f4b9c-dnbjn,74m,15Mi
2026-02-25T13:11:41+05:30,cpu-app-bcc7f4b9c-ggj2f,96m,13Mi
2026-02-25T13:11:41+05:30,cpu-app-bcc7f4b9c-vwcv5,99m,14Mi
2026-02-25T13:11:41+05:30,cpu-app-bcc7f4b9c-w6wzd,92m,14Mi
2026-02-25T13:11:46+05:30,cpu-app-bcc7f4b9c-dnbjn,74m,15Mi
2026-02-25T13:11:46+05:30,cpu-app-bcc7f4b9c-ggj2f,96m,13Mi
2026-02-25T13:11:46+05:30,cpu-app-bcc7f4b9c-vwcv5,99m,14Mi
2026-02-25T13:11:46+05:30,cpu-app-bcc7f4b9c-w6wzd,92m,14Mi
