timestamp,pod,cpu,memory
2026-02-25T13:13:14+05:30,cpu-app-bcc7f4b9c-29d4c,38m,13Mi
2026-02-25T13:13:14+05:30,cpu-app-bcc7f4b9c-7xr2p,34m,13Mi
2026-02-25T13:13:14+05:30,cpu-app-bcc7f4b9c-k6pr2,52m,13Mi
2026-02-25T13:13:14+05:30,cpu-app-bcc7f4b9c-qt9jq,39m,13Mi
2026-02-25T13:13:19+05:30,cpu-app-bcc7f4b9c-29d4c,38m,13Mi
2026-02-25T13:13:19+05:30,cpu-app-bcc7f4b9c-7xr2p,34m,13Mi
2026-02-25T13:13:19+05:30,cpu-app-bcc7f4b9c-k6pr2,52m,13Mi
2026-02-25T13:13:19+05:30,cpu-app-bcc7f4b9c-qt9jq,39m,13Mi
2026-02-25T13:13:24+05:30,cpu-app-bcc7f4b9c-29d4c,38m,13Mi
2026-02-25T13:13:24+05:30,cpu-app-bcc7f4b9c-7xr2p,34m,13Mi
2026-02-25T13:13:24+05:30,cpu-app-bcc7f4b9c-k6pr2,52m,13Mi
2026-02-25T13:13:24+05:30,cpu-app-bcc7f4b9c-qt9jq,39m,13Mi
2026-02-25T13:13:29+05:30,cpu-app-bcc7f4b9c-29d4c,38m,13Mi
2026-02-25T13:13:29+05:30,cpu-app-bcc7f4b9c-7xr2p,34m,13Mi
2026-02-25T13:13:29+05:30,cpu-app-bcc7f4b9c-k6pr2,52m,13Mi
2026-02-25T13:13:29+05:30,cpu-app-bcc7f4b9c-qt9jq,39m,13Mi
2026-02-25T13:13:34+05:30,cpu-app-bcc7f4b9c-29d4c,38m,13Mi
2026-02-25T13:13:34+05:30,cpu-app-bcc7f4b9c-7xr2p,34m,13Mi
2026-02-25T13:13:34+05:30,cpu-app-bcc7f4b9c-k6pr2,52m,13Mi
2026-02-25T13:13:34+05:30,cpu-app-bcc7f4b9c-qt9jq,39m,13Mi
2026-02-25T13:13:39+05:30,cpu-app-bcc7f4b9c-29d4c,38m,13Mi
2026-02-25T13:13:39+05:30,cpu-app-bcc7f4b9c-7xr2p,34m,13Mi
2026-02-25T13:13:39+05:30,cpu-app-bcc7f4b9c-k6pr2,52m,13Mi
2026-02-25T13:13:39+05:30,cpu-app-bcc7f4b9c-qt9jq,39m,13Mi
2026-02-25T13:13:44+05:30,cpu-app-bcc7f4b9c-29d4c,82m,15Mi
2026-02-25T13:13:44+05:30,cpu-app-bcc7f4b9c-7xr2p,70m,13Mi
2026-02-25T13:13:44+05:30,cpu-app-bcc7f4b9c-k6pr2,61m,15Mi
2026-02-25T13:13:44+05:30,cpu-app-bcc7f4b9c-qt9jq,40m,13Mi
2026-02-25T13:13:50+05:30,cpu-app-bcc7f4b9c-29d4c,82m,15Mi
2026-02-25T13:13:50+05:30,cpu-app-bcc7f4b9c-7xr2p,70m,13Mi
2026-02-25T13:13:50+05:30,cpu-app-bcc7f4b9c-k6pr2,61m,15Mi
2026-02-25T13:13:50+05:30,cpu-app-bcc7f4b9c-qt9jq,40m,13Mi
2026-02-25T13:13:55+05:30,cpu-app-bcc7f4b9c-29d4c,82m,15Mi
2026-02-25T13:13:55+05:30,cpu-app-bcc7f4b9c-7xr2p,70m,13Mi
2026-02-25T13:13:55+05:30,cpu-app-bcc7f4b9c-k6pr2,61m,15Mi
2026-02-25T13:13:55+05:30,cpu-app-bcc7f4b9c-qt9jq,40m,13Mi
2026-02-25T13:14:00+05:30,cpu-app-bcc7f4b9c-29d4c,82m,15Mi
2026-02-25T13:14:00+05:30,cpu-app-bcc7f4b9c-7xr2p,70m,13Mi
2026-02-25T13:14:00+05:30,cpu-app-bcc7f4b9c-k6pr2,61m,15Mi
2026-02-25T13:14:00+05:30,cpu-app-bcc7f4b9c-qt9jq,40m,13Mi
