LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
57m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-qqfqx       Readiness probe failed: Get "http://10.244.2.11:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-v9wm7       Readiness probe failed: Get "http://10.244.1.15:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-8c648       Readiness probe failed: Get "http://10.244.1.14:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-ftnrr       Readiness probe failed: Get "http://10.244.3.11:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-jdr47       Readiness probe failed: Get "http://10.244.3.17:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-c7m7z       Readiness probe failed: Get "http://10.244.2.18:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-ftnrr       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-97z7x       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-xxhbr       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-qqfqx       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-zfp9z       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-2gsfs       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-v9wm7       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-gzp2h       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-dmp6b       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-plnbw       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-cwvd8       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-c7m7z       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-vg9x8       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-ztfhb       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-jrvr7       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-jdr47       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-bxk2h       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-tkmz6       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-qk8s2       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-8c648       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-b7k65       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-v4vtx       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-bm6z5       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-wwmzp       Stopping container cpu-http
53m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-tkmz6       Readiness probe failed: Get "http://10.244.1.18:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
53m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-vllcs
53m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-4bddv
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-vllcs       Successfully assigned default/cpu-app-bcc7f4b9c-vllcs to kind-worker3
53m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 0 to 4
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-w8bhg       Successfully assigned default/cpu-app-bcc7f4b9c-w8bhg to kind-worker3
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-t8n6c       Successfully assigned default/cpu-app-bcc7f4b9c-t8n6c to kind-worker2
53m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-w8bhg
53m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-t8n6c
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-4bddv       Successfully assigned default/cpu-app-bcc7f4b9c-4bddv to kind-worker
53m         Normal    Created                        pod/cpu-app-bcc7f4b9c-4bddv       Container created
53m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-t8n6c       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
53m         Normal    Started                        pod/cpu-app-bcc7f4b9c-w8bhg       Container started
53m         Normal    Created                        pod/cpu-app-bcc7f4b9c-t8n6c       Container created
53m         Normal    Started                        pod/cpu-app-bcc7f4b9c-t8n6c       Container started
53m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-4bddv       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
53m         Normal    Started                        pod/cpu-app-bcc7f4b9c-4bddv       Container started
53m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-vllcs       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
53m         Normal    Created                        pod/cpu-app-bcc7f4b9c-vllcs       Container created
53m         Normal    Started                        pod/cpu-app-bcc7f4b9c-vllcs       Container started
53m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-w8bhg       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
53m         Normal    Created                        pod/cpu-app-bcc7f4b9c-w8bhg       Container created
52m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/cpu-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: no metrics returned from custom metrics API
