timestamp,phase,action
2026-02-25T17:10:19+05:30,high,start
2026-02-25T17:11:59+05:30,high,end
2026-02-25T17:11:59+05:30,low,start
2026-02-25T17:13:39+05:30,low,end
2026-02-25T17:13:39+05:30,high,start
2026-02-25T17:15:19+05:30,high,end
2026-02-25T17:15:19+05:30,low,start
2026-02-25T17:16:59+05:30,low,end
2026-02-25T17:16:59+05:30,high,start
2026-02-25T17:18:39+05:30,high,end
2026-02-25T17:18:39+05:30,low,start
2026-02-25T17:20:19+05:30,low,end
2026-02-25T17:20:19+05:30,high,start
2026-02-25T17:21:59+05:30,high,end
2026-02-25T17:21:59+05:30,low,start
2026-02-25T17:23:39+05:30,low,end
2026-02-25T17:23:39+05:30,high,start
2026-02-25T17:25:19+05:30,high,end
2026-02-25T17:25:19+05:30,low,start
2026-02-25T17:26:59+05:30,low,end
