timestamp,pod,cpu,memory
2026-02-25T17:10:19+05:30,cpu-app-bcc7f4b9c-ff9dx,6m,13Mi
2026-02-25T17:10:19+05:30,cpu-app-bcc7f4b9c-j7sdn,6m,13Mi
2026-02-25T17:10:19+05:30,cpu-app-bcc7f4b9c-rv697,6m,13Mi
2026-02-25T17:10:19+05:30,cpu-app-bcc7f4b9c-zbxdz,8m,13Mi
2026-02-25T17:10:24+05:30,cpu-app-bcc7f4b9c-ff9dx,6m,13Mi
2026-02-25T17:10:24+05:30,cpu-app-bcc7f4b9c-j7sdn,6m,13Mi
2026-02-25T17:10:24+05:30,cpu-app-bcc7f4b9c-rv697,6m,13Mi
2026-02-25T17:10:24+05:30,cpu-app-bcc7f4b9c-zbxdz,8m,13Mi
2026-02-25T17:10:29+05:30,cpu-app-bcc7f4b9c-ff9dx,6m,13Mi
2026-02-25T17:10:29+05:30,cpu-app-bcc7f4b9c-j7sdn,6m,13Mi
2026-02-25T17:10:29+05:30,cpu-app-bcc7f4b9c-rv697,6m,13Mi
2026-02-25T17:10:29+05:30,cpu-app-bcc7f4b9c-zbxdz,8m,13Mi
2026-02-25T17:10:34+05:30,cpu-app-bcc7f4b9c-ff9dx,6m,13Mi
2026-02-25T17:10:34+05:30,cpu-app-bcc7f4b9c-j7sdn,6m,13Mi
2026-02-25T17:10:34+05:30,cpu-app-bcc7f4b9c-rv697,6m,13Mi
2026-02-25T17:10:34+05:30,cpu-app-bcc7f4b9c-zbxdz,8m,13Mi
2026-02-25T17:10:39+05:30,cpu-app-bcc7f4b9c-ff9dx,6m,13Mi
2026-02-25T17:10:39+05:30,cpu-app-bcc7f4b9c-j7sdn,6m,13Mi
2026-02-25T17:10:39+05:30,cpu-app-bcc7f4b9c-rv697,6m,13Mi
2026-02-25T17:10:39+05:30,cpu-app-bcc7f4b9c-zbxdz,8m,13Mi
2026-02-25T17:10:44+05:30,cpu-app-bcc7f4b9c-ff9dx,6m,13Mi
2026-02-25T17:10:44+05:30,cpu-app-bcc7f4b9c-j7sdn,6m,13Mi
2026-02-25T17:10:44+05:30,cpu-app-bcc7f4b9c-rv697,6m,13Mi
2026-02-25T17:10:44+05:30,cpu-app-bcc7f4b9c-zbxdz,8m,13Mi
2026-02-25T17:10:49+05:30,cpu-app-bcc7f4b9c-ff9dx,6m,13Mi
2026-02-25T17:10:49+05:30,cpu-app-bcc7f4b9c-j7sdn,6m,13Mi
2026-02-25T17:10:49+05:30,cpu-app-bcc7f4b9c-rv697,6m,13Mi
2026-02-25T17:10:49+05:30,cpu-app-bcc7f4b9c-zbxdz,8m,13Mi
2026-02-25T17:10:54+05:30,cpu-app-bcc7f4b9c-ff9dx,6m,13Mi
2026-02-25T17:10:54+05:30,cpu-app-bcc7f4b9c-j7sdn,6m,13Mi
2026-02-25T17:10:54+05:30,cpu-app-bcc7f4b9c-rv697,6m,13Mi
2026-02-25T17:10:54+05:30,cpu-app-bcc7f4b9c-zbxdz,8m,13Mi
2026-02-25T17:10:59+05:30,cpu-app-bcc7f4b9c-ff9dx,6m,13Mi
2026-02-25T17:10:59+05:30,cpu-app-bcc7f4b9c-j7sdn,6m,13Mi
2026-02-25T17:10:59+05:30,cpu-app-bcc7f4b9c-rv697,6m,13Mi
2026-02-25T17:10:59+05:30,cpu-app-bcc7f4b9c-zbxdz,8m,13Mi
2026-02-25T17:11:04+05:30,cpu-app-bcc7f4b9c-ff9dx,6m,13Mi
2026-02-25T17:11:04+05:30,cpu-app-bcc7f4b9c-j7sdn,6m,13Mi
2026-02-25T17:11:04+05:30,cpu-app-bcc7f4b9c-rv697,6m,13Mi
2026-02-25T17:11:04+05:30,cpu-app-bcc7f4b9c-zbxdz,8m,13Mi
2026-02-25T17:11:10+05:30,cpu-app-bcc7f4b9c-ff9dx,6m,13Mi
2026-02-25T17:11:10+05:30,cpu-app-bcc7f4b9c-j7sdn,6m,13Mi
2026-02-25T17:11:10+05:30,cpu-app-bcc7f4b9c-rv697,6m,13Mi
2026-02-25T17:11:10+05:30,cpu-app-bcc7f4b9c-zbxdz,8m,13Mi
2026-02-25T17:11:15+05:30,cpu-app-bcc7f4b9c-ff9dx,6m,13Mi
2026-02-25T17:11:15+05:30,cpu-app-bcc7f4b9c-j7sdn,6m,13Mi
2026-02-25T17:11:15+05:30,cpu-app-bcc7f4b9c-rv697,6m,13Mi
2026-02-25T17:11:15+05:30,cpu-app-bcc7f4b9c-zbxdz,8m,13Mi
2026-02-25T17:11:20+05:30,cpu-app-bcc7f4b9c-ff9dx,184m,13Mi
2026-02-25T17:11:20+05:30,cpu-app-bcc7f4b9c-j7sdn,170m,15Mi
2026-02-25T17:11:20+05:30,cpu-app-bcc7f4b9c-rv697,162m,15Mi
2026-02-25T17:11:20+05:30,cpu-app-bcc7f4b9c-zbxdz,167m,13Mi
2026-02-25T17:11:25+05:30,cpu-app-bcc7f4b9c-ff9dx,184m,13Mi
2026-02-25T17:11:25+05:30,cpu-app-bcc7f4b9c-j7sdn,170m,15Mi
2026-02-25T17:11:25+05:30,cpu-app-bcc7f4b9c-rv697,162m,15Mi
2026-02-25T17:11:25+05:30,cpu-app-bcc7f4b9c-zbxdz,167m,13Mi
2026-02-25T17:11:30+05:30,cpu-app-bcc7f4b9c-ff9dx,184m,13Mi
2026-02-25T17:11:30+05:30,cpu-app-bcc7f4b9c-j7sdn,170m,15Mi
2026-02-25T17:11:30+05:30,cpu-app-bcc7f4b9c-rv697,162m,15Mi
2026-02-25T17:11:30+05:30,cpu-app-bcc7f4b9c-zbxdz,167m,13Mi
2026-02-25T17:11:35+05:30,cpu-app-bcc7f4b9c-ff9dx,184m,13Mi
2026-02-25T17:11:35+05:30,cpu-app-bcc7f4b9c-j7sdn,170m,15Mi
2026-02-25T17:11:35+05:30,cpu-app-bcc7f4b9c-rv697,162m,15Mi
2026-02-25T17:11:35+05:30,cpu-app-bcc7f4b9c-zbxdz,167m,13Mi
2026-02-25T17:11:40+05:30,cpu-app-bcc7f4b9c-ff9dx,184m,13Mi
2026-02-25T17:11:40+05:30,cpu-app-bcc7f4b9c-j7sdn,170m,15Mi
2026-02-25T17:11:40+05:30,cpu-app-bcc7f4b9c-rv697,162m,15Mi
2026-02-25T17:11:40+05:30,cpu-app-bcc7f4b9c-zbxdz,167m,13Mi
2026-02-25T17:11:45+05:30,cpu-app-bcc7f4b9c-ff9dx,184m,13Mi
2026-02-25T17:11:45+05:30,cpu-app-bcc7f4b9c-j7sdn,170m,15Mi
2026-02-25T17:11:45+05:30,cpu-app-bcc7f4b9c-rv697,162m,15Mi
2026-02-25T17:11:45+05:30,cpu-app-bcc7f4b9c-zbxdz,167m,13Mi
2026-02-25T17:11:50+05:30,cpu-app-bcc7f4b9c-ff9dx,184m,13Mi
2026-02-25T17:11:50+05:30,cpu-app-bcc7f4b9c-j7sdn,170m,15Mi
2026-02-25T17:11:50+05:30,cpu-app-bcc7f4b9c-rv697,162m,15Mi
2026-02-25T17:11:50+05:30,cpu-app-bcc7f4b9c-zbxdz,167m,13Mi
2026-02-25T17:11:55+05:30,cpu-app-bcc7f4b9c-ff9dx,184m,13Mi
2026-02-25T17:11:55+05:30,cpu-app-bcc7f4b9c-j7sdn,170m,15Mi
2026-02-25T17:11:55+05:30,cpu-app-bcc7f4b9c-rv697,162m,15Mi
2026-02-25T17:11:55+05:30,cpu-app-bcc7f4b9c-zbxdz,167m,13Mi
2026-02-25T17:12:00+05:30,cpu-app-bcc7f4b9c-ff9dx,184m,13Mi
2026-02-25T17:12:00+05:30,cpu-app-bcc7f4b9c-j7sdn,170m,15Mi
2026-02-25T17:12:00+05:30,cpu-app-bcc7f4b9c-rv697,162m,15Mi
2026-02-25T17:12:00+05:30,cpu-app-bcc7f4b9c-zbxdz,167m,13Mi
2026-02-25T17:12:05+05:30,cpu-app-bcc7f4b9c-ff9dx,184m,13Mi
2026-02-25T17:12:05+05:30,cpu-app-bcc7f4b9c-j7sdn,170m,15Mi
2026-02-25T17:12:05+05:30,cpu-app-bcc7f4b9c-rv697,162m,15Mi
2026-02-25T17:12:05+05:30,cpu-app-bcc7f4b9c-zbxdz,167m,13Mi
2026-02-25T17:12:10+05:30,cpu-app-bcc7f4b9c-ff9dx,184m,13Mi
2026-02-25T17:12:10+05:30,cpu-app-bcc7f4b9c-j7sdn,170m,15Mi
2026-02-25T17:12:10+05:30,cpu-app-bcc7f4b9c-rv697,162m,15Mi
2026-02-25T17:12:10+05:30,cpu-app-bcc7f4b9c-zbxdz,167m,13Mi
2026-02-25T17:12:15+05:30,cpu-app-bcc7f4b9c-ff9dx,184m,13Mi
2026-02-25T17:12:15+05:30,cpu-app-bcc7f4b9c-j7sdn,170m,15Mi
2026-02-25T17:12:15+05:30,cpu-app-bcc7f4b9c-rv697,162m,15Mi
2026-02-25T17:12:15+05:30,cpu-app-bcc7f4b9c-zbxdz,167m,13Mi
2026-02-25T17:12:20+05:30,cpu-app-bcc7f4b9c-ff9dx,130m,15Mi
2026-02-25T17:12:20+05:30,cpu-app-bcc7f4b9c-gz25f,93m,15Mi
2026-02-25T17:12:20+05:30,cpu-app-bcc7f4b9c-gzq87,38m,15Mi
2026-02-25T17:12:20+05:30,cpu-app-bcc7f4b9c-j6mlj,114m,15Mi
2026-02-25T17:12:20+05:30,cpu-app-bcc7f4b9c-j7sdn,98m,15Mi
2026-02-25T17:12:20+05:30,cpu-app-bcc7f4b9c-m89wf,37m,13Mi
2026-02-25T17:12:20+05:30,cpu-app-bcc7f4b9c-m9jjs,140m,13Mi
2026-02-25T17:12:20+05:30,cpu-app-bcc7f4b9c-rjmsz,24m,13Mi
2026-02-25T17:12:20+05:30,cpu-app-bcc7f4b9c-rv697,135m,14Mi
2026-02-25T17:12:20+05:30,cpu-app-bcc7f4b9c-s2pth,127m,15Mi
2026-02-25T17:12:20+05:30,cpu-app-bcc7f4b9c-v7glh,26m,14Mi
2026-02-25T17:12:20+05:30,cpu-app-bcc7f4b9c-zbxdz,124m,15Mi
2026-02-25T17:12:25+05:30,cpu-app-bcc7f4b9c-ff9dx,130m,15Mi
2026-02-25T17:12:25+05:30,cpu-app-bcc7f4b9c-gz25f,93m,15Mi
2026-02-25T17:12:25+05:30,cpu-app-bcc7f4b9c-gzq87,38m,15Mi
2026-02-25T17:12:25+05:30,cpu-app-bcc7f4b9c-j6mlj,114m,15Mi
2026-02-25T17:12:25+05:30,cpu-app-bcc7f4b9c-j7sdn,98m,15Mi
2026-02-25T17:12:25+05:30,cpu-app-bcc7f4b9c-m89wf,37m,13Mi
2026-02-25T17:12:25+05:30,cpu-app-bcc7f4b9c-m9jjs,140m,13Mi
2026-02-25T17:12:25+05:30,cpu-app-bcc7f4b9c-rjmsz,24m,13Mi
