timestamp,phase,action
2026-02-25T15:57:55+05:30,high,start
2026-02-25T15:59:35+05:30,high,end
2026-02-25T15:59:35+05:30,low,start
2026-02-25T16:01:15+05:30,low,end
2026-02-25T16:01:15+05:30,high,start
2026-02-25T16:02:55+05:30,high,end
2026-02-25T16:02:55+05:30,low,start
2026-02-25T16:04:35+05:30,low,end
2026-02-25T16:04:35+05:30,high,start
2026-02-25T16:06:15+05:30,high,end
2026-02-25T16:06:15+05:30,low,start
2026-02-25T16:07:55+05:30,low,end
2026-02-25T16:07:55+05:30,high,start
2026-02-25T16:09:35+05:30,high,end
2026-02-25T16:09:35+05:30,low,start
2026-02-25T16:11:15+05:30,low,end
2026-02-25T16:11:15+05:30,high,start
2026-02-25T16:12:55+05:30,high,end
2026-02-25T16:12:55+05:30,low,start
2026-02-25T16:14:35+05:30,low,end
