timestamp,phase,action
2026-02-25T16:52:13+05:30,high,start
2026-02-25T16:53:53+05:30,high,end
2026-02-25T16:53:53+05:30,low,start
2026-02-25T16:55:33+05:30,low,end
2026-02-25T16:55:33+05:30,high,start
2026-02-25T16:57:13+05:30,high,end
2026-02-25T16:57:13+05:30,low,start
2026-02-25T16:58:53+05:30,low,end
2026-02-25T16:58:53+05:30,high,start
2026-02-25T17:00:33+05:30,high,end
2026-02-25T17:00:33+05:30,low,start
2026-02-25T17:02:13+05:30,low,end
2026-02-25T17:02:13+05:30,high,start
2026-02-25T17:03:53+05:30,high,end
2026-02-25T17:03:53+05:30,low,start
2026-02-25T17:05:33+05:30,low,end
2026-02-25T17:05:33+05:30,high,start
2026-02-25T17:07:13+05:30,high,end
2026-02-25T17:07:13+05:30,low,start
2026-02-25T17:08:53+05:30,low,end
