timestamp,pod,cpu_millicores
1772359973,websocket-loadgen-wvtpf,19
1772359973,websocket-server-5f4f67c6f4-8g2fl,174
1772359973,websocket-server-5f4f67c6f4-dgcgd,197
1772359978,websocket-loadgen-wvtpf,19
1772359978,websocket-server-5f4f67c6f4-8g2fl,174
1772359978,websocket-server-5f4f67c6f4-dgcgd,197
1772359984,websocket-loadgen-wvtpf,19
1772359984,websocket-server-5f4f67c6f4-8g2fl,174
1772359984,websocket-server-5f4f67c6f4-dgcgd,197
1772359990,websocket-loadgen-wvtpf,48
1772359990,websocket-server-5f4f67c6f4-8g2fl,246
1772359990,websocket-server-5f4f67c6f4-dgcgd,244
1772359995,websocket-loadgen-wvtpf,48
1772359995,websocket-server-5f4f67c6f4-8g2fl,246
1772359995,websocket-server-5f4f67c6f4-dgcgd,244
1772360001,websocket-loadgen-wvtpf,48
1772360001,websocket-server-5f4f67c6f4-8g2fl,246
1772360001,websocket-server-5f4f67c6f4-dgcgd,244
1772360006,websocket-loadgen-wvtpf,104
1772360006,websocket-server-5f4f67c6f4-8g2fl,438
1772360006,websocket-server-5f4f67c6f4-dgcgd,499
1772360011,websocket-loadgen-wvtpf,104
1772360011,websocket-server-5f4f67c6f4-8g2fl,438
1772360011,websocket-server-5f4f67c6f4-dgcgd,499
1772360016,websocket-loadgen-wvtpf,77
1772360016,websocket-server-5f4f67c6f4-65l82,0
1772360016,websocket-server-5f4f67c6f4-87z6g,0
1772360016,websocket-server-5f4f67c6f4-8g2fl,497
1772360016,websocket-server-5f4f67c6f4-dgcgd,500
1772360016,websocket-server-5f4f67c6f4-kfn6d,186
1772360021,websocket-loadgen-wvtpf,77
1772360021,websocket-server-5f4f67c6f4-65l82,0
1772360021,websocket-server-5f4f67c6f4-87z6g,0
1772360021,websocket-server-5f4f67c6f4-8g2fl,497
1772360021,websocket-server-5f4f67c6f4-dgcgd,500
1772360021,websocket-server-5f4f67c6f4-kfn6d,186
1772360026,websocket-loadgen-wvtpf,77
1772360026,websocket-server-5f4f67c6f4-65l82,0
1772360026,websocket-server-5f4f67c6f4-87z6g,0
1772360026,websocket-server-5f4f67c6f4-8g2fl,497
1772360026,websocket-server-5f4f67c6f4-dgcgd,500
1772360026,websocket-server-5f4f67c6f4-kfn6d,186
1772360031,websocket-loadgen-wvtpf,48
1772360031,websocket-server-5f4f67c6f4-45fb2,0
1772360031,websocket-server-5f4f67c6f4-65l82,0
1772360031,websocket-server-5f4f67c6f4-87z6g,0
