timestamp,pod,cpu_millicores
1772364638,websocket-server-5f4f67c6f4-ht5l4,252
1772364638,websocket-server-5f4f67c6f4-xxmst,234
1772364643,websocket-server-5f4f67c6f4-ht5l4,252
1772364643,websocket-server-5f4f67c6f4-xxmst,234
1772364648,websocket-server-5f4f67c6f4-ht5l4,252
1772364648,websocket-server-5f4f67c6f4-xxmst,234
1772364653,websocket-loadgen-xctq2,37
1772364653,websocket-server-5f4f67c6f4-ht5l4,402
1772364653,websocket-server-5f4f67c6f4-xxmst,388
1772364658,websocket-loadgen-xctq2,37
1772364658,websocket-server-5f4f67c6f4-ht5l4,402
1772364658,websocket-server-5f4f67c6f4-xxmst,388
1772364663,websocket-loadgen-xctq2,47
1772364663,websocket-server-5f4f67c6f4-bkzdq,47
1772364663,websocket-server-5f4f67c6f4-ht5l4,379
1772364663,websocket-server-5f4f67c6f4-k9vpl,51
1772364663,websocket-server-5f4f67c6f4-plr9q,51
1772364663,websocket-server-5f4f67c6f4-w6kvq,47
1772364663,websocket-server-5f4f67c6f4-xxmst,410
1772364669,websocket-loadgen-xctq2,47
1772364669,websocket-server-5f4f67c6f4-bkzdq,47
1772364669,websocket-server-5f4f67c6f4-ht5l4,379
1772364669,websocket-server-5f4f67c6f4-k9vpl,51
1772364669,websocket-server-5f4f67c6f4-plr9q,51
1772364669,websocket-server-5f4f67c6f4-w6kvq,47
1772364669,websocket-server-5f4f67c6f4-xxmst,410
1772364674,websocket-loadgen-xctq2,47
1772364674,websocket-server-5f4f67c6f4-bkzdq,47
1772364674,websocket-server-5f4f67c6f4-ht5l4,379
1772364674,websocket-server-5f4f67c6f4-k9vpl,51
1772364674,websocket-server-5f4f67c6f4-plr9q,51
1772364674,websocket-server-5f4f67c6f4-w6kvq,47
1772364674,websocket-server-5f4f67c6f4-xxmst,410
1772364679,websocket-loadgen-xctq2,48
1772364679,websocket-server-5f4f67c6f4-bkzdq,0
1772364679,websocket-server-5f4f67c6f4-ht5l4,436
1772364679,websocket-server-5f4f67c6f4-k9vpl,0
1772364679,websocket-server-5f4f67c6f4-plr9q,0
1772364679,websocket-server-5f4f67c6f4-w6kvq,0
1772364679,websocket-server-5f4f67c6f4-xxmst,419
1772364684,websocket-loadgen-xctq2,48
1772364684,websocket-server-5f4f67c6f4-bkzdq,0
1772364684,websocket-server-5f4f67c6f4-ht5l4,436
1772364684,websocket-server-5f4f67c6f4-k9vpl,0
1772364684,websocket-server-5f4f67c6f4-plr9q,0
1772364684,websocket-server-5f4f67c6f4-w6kvq,0
1772364684,websocket-server-5f4f67c6f4-xxmst,419
1772364689,websocket-loadgen-xctq2,48
1772364689,websocket-server-5f4f67c6f4-bkzdq,0
1772364689,websocket-server-5f4f67c6f4-ht5l4,436
1772364689,websocket-server-5f4f67c6f4-k9vpl,0
1772364689,websocket-server-5f4f67c6f4-plr9q,0
1772364689,websocket-server-5f4f67c6f4-w6kvq,0
1772364689,websocket-server-5f4f67c6f4-xxmst,419
1772364694,websocket-loadgen-xctq2,48
1772364694,websocket-server-5f4f67c6f4-2cczd,48
1772364694,websocket-server-5f4f67c6f4-bkzdq,0
1772364694,websocket-server-5f4f67c6f4-ht5l4,428
1772364694,websocket-server-5f4f67c6f4-k9vpl,0
1772364694,websocket-server-5f4f67c6f4-ljlgc,44
1772364694,websocket-server-5f4f67c6f4-plr9q,0
1772364694,websocket-server-5f4f67c6f4-w6kvq,0
1772364694,websocket-server-5f4f67c6f4-xxmst,411
1772364699,websocket-loadgen-xctq2,48
1772364699,websocket-server-5f4f67c6f4-2cczd,48
1772364699,websocket-server-5f4f67c6f4-bkzdq,0
1772364699,websocket-server-5f4f67c6f4-ht5l4,428
1772364699,websocket-server-5f4f67c6f4-k9vpl,0
1772364699,websocket-server-5f4f67c6f4-ljlgc,44
1772364699,websocket-server-5f4f67c6f4-plr9q,0
1772364699,websocket-server-5f4f67c6f4-w6kvq,0
1772364699,websocket-server-5f4f67c6f4-xxmst,411
1772364704,websocket-loadgen-xctq2,48
1772364704,websocket-server-5f4f67c6f4-2cczd,48
1772364704,websocket-server-5f4f67c6f4-bkzdq,0
1772364704,websocket-server-5f4f67c6f4-ht5l4,428
1772364704,websocket-server-5f4f67c6f4-k9vpl,0
1772364704,websocket-server-5f4f67c6f4-ljlgc,44
1772364704,websocket-server-5f4f67c6f4-plr9q,0
1772364704,websocket-server-5f4f67c6f4-w6kvq,0
1772364704,websocket-server-5f4f67c6f4-xxmst,411
1772364709,websocket-loadgen-xctq2,46
1772364709,websocket-server-5f4f67c6f4-2cczd,0
1772364709,websocket-server-5f4f67c6f4-bkzdq,0
