timestamp,cpu_percent,replicas
1773119698,0.0,0
1773119703,0.0,2
1773119708,0.0,2
1773119713,0.0,2
1773119718,0.0,2
1773119723,0.0,2
1773119729,0.0,2
1773119734,2.0,2
1773119739,2.0,2
1773119744,2.0,2
1773119749,71.0,2
1773119754,71.0,2
1773119759,71.0,2
1773119764,168.0,3
1773119769,168.0,3
1773119774,168.0,3
1773119780,171.0,6
1773119785,171.0,6
1773119790,171.0,6
1773119795,126.0,9
1773119800,126.0,9
1773119805,126.0,9
1773119810,116.0,11
1773119815,116.0,11
1773119821,116.0,11
1773119826,96.0,14
1773119831,96.0,14
1773119836,78.0,15
1773119841,78.0,15
1773119846,78.0,15
1773119851,43.0,15
1773119856,43.0,15
1773119861,43.0,15
1773119867,8.0,15
1773119872,8.0,15
1773119877,8.0,15
1773119882,2.0,15
1773119887,2.0,15
1773119892,2.0,15
1773119897,2.0,15
1773119902,2.0,15
1773119907,2.0,15
1773119912,2.0,11
1773119918,2.0,11
1773119923,2.0,11
1773119928,2.0,11
1773119933,2.0,11
1773119938,2.0,11
1773119943,2.0,11
1773119948,2.0,11
1773119953,2.0,11
1773119958,2.0,11
1773119963,2.0,11
1773119969,2.0,11
1773119974,2.0,7
1773119979,2.0,7
1773119984,2.0,7
1773119989,2.0,7
1773119994,2.0,7
1773119999,2.0,7
1773120004,2.0,7
1773120009,2.0,7
1773120014,2.0,7
1773120020,2.0,7
1773120025,2.0,7
1773120030,2.0,7
1773120035,1.0,3
1773120040,1.0,3
1773120045,1.0,3
1773120050,1.0,3
1773120055,1.0,3
1773120060,1.0,3
1773120065,1.0,3
1773120071,1.0,3
1773120076,1.0,3
