timestamp,cpu_millicores
1773124312,96
1773124317,96
1773124322,96
1773124327,2
1773124332,2
1773124337,2
1773124342,10
1773124347,10
1773124352,10
1773124358,23
1773124363,23
1773124368,23
1773124373,83
1773124378,83
1773124383,90
1773124388,90
1773124393,90
1773124398,122
1773124404,122
1773124409,122
1773124414,176
1773124419,176
1773124424,176
1773124429,88
1773124434,88
1773124439,88
1773124444,88
1773124449,88
1773124455,88
1773124460,62
1773124465,62
1773124470,62
1773124475,27
1773124480,27
1773124485,27
1773124490,26
1773124495,26
1773124500,26
1773124505,27
1773124511,27
1773124516,27
1773124521,56
1773124526,56
1773124531,56
1773124536,8
1773124541,8
1773124546,8
1773124551,9
1773124556,9
1773124562,9
1773124567,8
1773124572,8
1773124577,8
1773124582,11
1773124587,11
1773124592,11
1773124597,23
1773124602,23
1773124607,23
1773124612,37
1773124618,37
1773124623,37
1773124628,55
1773124633,55
1773124638,69
1773124643,69
1773124648,69
1773124653,120
1773124658,113
1773124663,113
1773124669,135
1773124674,135
1773124679,135
1773124684,127
1773124689,127
1773124694,127
1773124699,67
1773124704,67
1773124709,67
1773124714,39
1773124719,39
1773124725,39
1773124730,27
1773124735,27
1773124740,27
1773124745,25
1773124750,25
1773124755,25
1773124760,55
1773124765,55
1773124770,55
1773124775,30
1773124781,30
1773124786,30
1773124791,9
1773124796,9
1773124801,9
1773124806,9
1773124811,9
1773124816,9
1773124821,7
1773124826,7
1773124831,6
1773124837,8
1773124842,8
1773124847,8
1773124852,7
1773124857,7
1773124862,7
1773124867,7
1773124872,7
1773124877,7
1773124882,7
1773124887,7
1773124893,7
1773124898,8
1773124903,6
1773124908,4
1773124913,2
