timestamp,cpu_millicores
1772471343,79
1772471348,79
1772471353,104
1772471358,104
1772471363,104
1772471368,828
1772471373,828
1772471378,828
1772471383,1169
1772471388,1169
1772471394,1169
1772471399,1360
1772471404,1360
1772471409,1360
1772471414,1212
1772471419,1212
1772471424,1212
1772471429,1025
1772471434,1025
1772471440,975
1772471445,953
1772471450,953
1772471455,953
1772471460,379
1772471465,379
1772471470,379
1772471475,14
1772471480,14
1772471486,15
1772471491,15
1772471496,15
1772471501,80
1772471506,80
1772471511,80
1772471516,1267
1772471521,1267
1772471527,1267
1772471532,1597
1772471537,787
1772471542,787
1772471547,1295
1772471552,1295
1772471557,1295
1772471563,1439
1772471568,1439
1772471573,1439
1772471578,1307
1772471583,1307
1772471588,1252
1772471593,1185
1772471598,1185
1772471604,1185
1772471609,326
1772471614,326
1772471619,326
1772471624,92
1772471629,92
1772471634,92
1772471639,14
1772471644,14
1772471650,14
1772471655,84
1772471660,84
1772471665,84
1772471670,1219
1772471675,1219
1772471680,1219
1772471685,609
1772471690,609
1772471695,609
1772471701,1149
1772471706,1149
1772471711,1730
1772471716,1730
1772471721,1730
1772471726,1228
1772471731,1228
1772471736,1178
1772471741,1011
1772471746,1011
1772471752,1011
1772471757,307
1772471762,307
1772471767,307
1772471772,15
1772471777,15
1772471782,15
1772471787,15
1772471792,15
1772471798,15
1772471803,64
1772471808,64
1772471813,64
1772471818,1188
1772471823,1188
1772471828,1188
1772471834,614
1772471839,614
1772471844,614
1772471849,932
1772471854,932
1772471859,932
1772471864,1593
1772471870,1593
1772471875,1593
1772471880,1196
1772471885,1196
1772471890,1154
1772471895,1044
1772471900,1044
1772471905,1044
1772471910,465
1772471915,465
1772471921,22
1772471926,22
1772471931,22
1772471936,15
1772471941,15
1772471946,15
1772471951,62
1772471956,62
1772471961,62
1772471966,1005
1772471972,1005
1772471977,1005
1772471982,1435
1772471987,823
1772471992,823
1772471997,1233
1772472002,1233
1772472007,1233
1772472012,1516
1772472018,1516
1772472023,1516
1772472028,1380
1772472033,1380
1772472038,1330
1772472043,1230
1772472048,1230
1772472053,1230
1772472058,579
1772472064,579
1772472069,579
1772472074,70
1772472079,70
1772472084,70
1772472089,14
1772472094,14
1772472099,14
1772472104,15
1772472109,15
1772472115,15
1772472120,14
1772472125,14
1772472130,14
1772472135,9
1772472140,9
1772472145,9
1772472150,2
