timestamp,cpu_millicores
1777464815,20
1777464820,20
1777464825,20
1777464830,1
1777464835,1
1777464840,1
1777464845,8
1777464850,8
1777464855,8
1777464861,16
1777464866,16
1777464871,16
1777464876,24
1777464881,24
1777464886,24
1777464891,64
1777464896,64
1777464901,64
1777464906,51
1777464911,51
1777464916,51
1777464921,56
1777464926,56
1777464931,56
1777464936,60
1777464941,60
1777464946,60
1777464951,43
1777464956,43
1777464961,43
1777464966,20
1777464971,20
1777464977,20
1777464982,17
1777464987,17
1777464992,17
1777464997,17
1777465002,17
1777465007,17
1777465012,17
1777465017,17
1777465022,17
1777465027,24
1777465032,24
1777465037,24
1777465042,9
1777465047,9
1777465052,9
1777465057,7
1777465062,7
1777465067,6
1777465072,6
1777465077,6
1777465082,11
1777465088,11
1777465093,11
1777465098,19
1777465103,19
1777465108,19
1777465113,23
1777465118,23
1777465123,23
1777465128,33
1777465133,33
1777465138,33
1777465143,37
1777465148,37
1777465153,37
1777465158,36
1777465163,36
1777465168,36
1777465173,81
1777465178,81
1777465183,81
1777465188,65
1777465194,65
1777465199,65
1777465204,25
1777465209,25
1777465214,25
1777465219,20
1777465224,20
1777465229,20
1777465234,17
1777465239,17
1777465244,17
1777465249,23
1777465254,23
1777465259,23
1777465264,29
1777465269,29
1777465274,29
1777465279,12
1777465284,12
1777465289,12
1777465294,8
1777465299,8
1777465305,8
1777465310,9
1777465315,9
1777465320,9
1777465325,10
1777465330,8
1777465335,8
1777465340,8
1777465345,8
1777465350,8
1777465355,7
1777465360,7
1777465365,7
1777465370,7
1777465375,7
1777465380,7
1777465385,8
1777465390,8
1777465395,6
1777465400,3
1777465405,1
