timestamp,cpu_millicores
1777402089,0
1777402094,0
1777402099,1
1777402104,1
1777402109,1
1777402114,1
1777402119,1
1777402124,1
1777402129,4
1777402134,4
1777402139,4
1777402144,13
1777402149,13
1777402154,13
1777402159,22
1777402164,22
1777402169,22
1777402174,28
1777402179,28
1777402184,28
1777402190,59
1777402195,59
1777402200,59
1777402205,41
1777402210,41
1777402215,41
1777402220,81
1777402225,81
1777402230,81
1777402235,61
1777402240,61
1777402245,61
1777402250,34
1777402255,34
1777402260,34
1777402265,14
1777402270,14
1777402275,14
1777402280,14
1777402285,14
1777402290,14
1777402295,19
1777402300,19
1777402306,19
1777402311,22
1777402316,22
1777402321,22
1777402326,2
1777402331,2
1777402336,2
1777402341,1
1777402346,1
1777402351,1
1777402356,2
1777402361,2
1777402366,2
1777402371,5
1777402376,5
1777402381,5
1777402386,16
1777402391,16
1777402396,16
1777402401,22
1777402406,22
1777402411,29
1777402417,29
1777402422,29
1777402427,36
1777402432,29
1777402437,26
1777402442,41
1777402447,41
1777402452,36
1777402457,83
1777402462,83
1777402467,83
1777402472,61
1777402477,61
1777402482,61
1777402487,36
1777402492,36
1777402497,36
1777402502,36
1777402507,36
1777402512,36
1777402517,36
1777402522,36
1777402528,36
1777402533,22
1777402538,22
1777402543,22
1777402548,18
1777402553,18
1777402558,18
1777402563,6
1777402568,6
1777402573,6
1777402578,3
1777402583,3
1777402588,3
1777402593,2
1777402598,2
1777402603,2
1777402608,4
1777402613,4
1777402618,4
1777402623,4
1777402628,4
1777402633,4
1777402639,3
1777402644,3
1777402649,3
1777402654,4
1777402659,4
1777402664,4
1777402669,2
