timestamp,cpu_millicores
1777402687,4
1777402692,2
1777402697,42
1777402702,42
1777402708,38
1777402713,24
1777402718,24
1777402723,23
1777402728,18
1777402733,18
1777402738,18
1777402743,84
1777402748,84
1777402753,84
1777402758,20
1777402763,20
1777402768,20
1777402773,21
1777402778,21
1777402783,21
1777402788,15
1777402793,15
1777402798,15
1777402803,19
1777402808,19
1777402814,19
1777402819,21
1777402824,21
1777402829,21
1777402834,14
1777402839,14
1777402844,14
1777402849,9
1777402854,9
1777402859,9
1777402864,9
1777402869,9
1777402874,9
1777402879,9
1777402884,9
1777402889,9
1777402894,17
1777402899,17
1777402904,17
1777402909,12
1777402914,12
1777402920,12
1777402925,8
1777402930,8
1777402935,8
1777402940,8
1777402945,8
1777402950,8
1777402955,30
1777402960,30
1777402965,30
1777402970,33
1777402975,33
1777402980,33
1777402985,24
1777402990,24
1777402995,24
1777403000,21
1777403005,21
1777403010,21
1777403015,19
1777403020,19
1777403026,19
1777403031,21
1777403036,21
1777403041,21
1777403046,26
1777403051,26
1777403056,26
1777403061,25
1777403066,25
1777403071,25
1777403076,19
1777403081,19
1777403086,19
1777403091,8
1777403096,8
1777403101,8
1777403106,8
1777403111,8
1777403116,8
1777403121,8
1777403126,8
1777403131,8
1777403136,24
1777403142,24
1777403147,18
1777403152,18
1777403157,18
1777403162,7
1777403167,7
1777403172,7
1777403177,8
1777403182,8
1777403187,8
1777403192,7
1777403197,7
1777403202,7
1777403207,7
1777403212,7
1777403217,7
1777403222,8
1777403227,8
1777403232,8
1777403237,8
1777403242,8
1777403247,8
1777403252,5
1777403258,5
1777403263,5
1777403268,6
