timestamp,active_connections
1777403285,0.0
1777403290,0.0
1777403295,0.0
1777403300,0.0
1777403305,9.0
1777403310,9.0
1777403315,51.0
1777403320,114.0
1777403325,114.0
1777403330,184.0
1777403335,243.0
1777403340,243.0
1777403345,306.0
1777403350,366.0
1777403355,434.0
1777403360,458.0
1777403365,493.0
1777403370,575.0
1777403375,
1777403380,
1777403385,
1777403391,
1777403396,
1777403401,
1777403406,
1777403411,
1777403416,
1777403421,
1777403426,
1777403431,
1777403436,
1777403441,
1777403446,
1777403451,
1777403456,
1777403461,
1777403466,
1777403471,
1777403476,
1777403481,
1777403486,
1777403491,
1777403496,
1777403501,800.0
1777403506,800.0
1777403511,800.0
1777403516,800.0
1777403521,800.0
1777403526,800.0
1777403531,800.0
1777403536,601.0
1777403541,0.0
1777403546,0.0
1777403551,0.0
1777403556,0.0
1777403561,0.0
1777403566,0.0
1777403571,0.0
1777403576,0.0
1777403581,0.0
1777403586,0.0
1777403591,0.0
1777403596,5.0
1777403601,54.0
1777403606,66.0
1777403611,104.0
1777403616,185.0
1777403621,204.0
1777403626,235.0
1777403631,312.0
1777403636,335.0
1777403641,371.0
1777403646,442.0
1777403651,467.0
1777403656,511.0
1777403661,595.0
1777403666,603.0
1777403671,640.0
1777403676,726.0
1777403681,726.0
1777403686,774.0
1777403691,856.0
1777403696,856.0
1777403701,921.0
1777403706,887.0
1777403711,800.0
1777403716,800.0
1777403721,800.0
1777403726,800.0
1777403731,800.0
1777403736,800.0
1777403741,800.0
1777403746,800.0
1777403751,800.0
1777403756,800.0
1777403761,800.0
1777403766,800.0
1777403771,800.0
1777403776,496.0
1777403781,0.0
1777403786,0.0
1777403791,0.0
1777403796,0.0
1777403801,0.0
1777403806,0.0
1777403811,0.0
1777403816,0.0
1777403821,0.0
1777403826,0.0
1777403831,0.0
1777403836,0.0
1777403841,0.0
1777403846,0.0
1777403851,0.0
1777403856,0.0
1777403861,0.0
1777403866,0.0
1777403872,0.0
1777403877,0.0
1777403882,0.0
1777403887,0.0
1777403892,0.0
1777403897,0.0
1777403902,0.0
1777403907,0.0
1777403912,0.0
1777403917,0.0
