timestamp,cpu_millicores
1777403285,2
1777403290,2
1777403295,2
1777403300,4
1777403306,2
1777403311,2
1777403316,2
1777403321,2
1777403326,2
1777403331,9
1777403336,9
1777403341,9
1777403346,16
1777403351,16
1777403356,16
1777403361,68
1777403366,68
1777403371,68
1777403376,51
1777403381,51
1777403386,51
1777403391,58
1777403396,58
1777403402,44
1777403407,44
1777403412,44
1777403417,47
1777403422,47
1777403427,47
1777403432,36
1777403437,36
1777403442,36
1777403447,19
1777403452,19
1777403457,19
1777403462,18
1777403467,18
1777403472,18
1777403477,18
1777403482,18
1777403487,18
1777403492,18
1777403497,18
1777403502,18
1777403507,18
1777403513,18
1777403518,18
1777403523,18
1777403528,18
1777403533,18
1777403538,29
1777403543,29
1777403548,29
1777403553,13
1777403558,13
1777403563,13
1777403568,11
1777403573,11
1777403578,11
1777403583,7
1777403588,7
1777403593,7
1777403598,7
1777403603,7
1777403608,7
1777403613,13
1777403618,13
1777403623,13
1777403629,21
1777403634,21
1777403639,21
1777403644,25
1777403649,25
1777403654,25
1777403659,33
1777403664,33
1777403669,33
1777403674,39
1777403679,39
1777403684,35
1777403689,38
1777403694,38
1777403699,38
1777403704,46
1777403709,46
1777403714,46
1777403719,66
1777403724,66
1777403729,66
1777403734,25
1777403739,25
1777403745,25
1777403750,20
1777403755,20
1777403760,20
1777403765,18
1777403770,18
1777403775,18
1777403780,19
1777403785,19
1777403790,19
1777403795,35
1777403800,35
1777403805,35
1777403810,9
1777403815,9
1777403820,9
1777403825,10
1777403830,10
1777403835,10
1777403841,9
1777403846,9
1777403851,9
1777403856,6
1777403861,5
1777403866,5
1777403871,7
1777403876,7
1777403881,7
1777403886,8
1777403891,8
1777403896,8
1777403901,7
1777403906,7
1777403911,7
1777403916,8
