timestamp,cpu_millicores
1777439902,2
1777439908,2
1777439913,2
1777439918,2
1777439923,2
1777439928,2
1777439933,9
1777439938,9
1777439943,9
1777439948,16
1777439953,16
1777439958,16
1777439963,42
1777439968,42
1777439973,42
1777439978,53
1777439983,53
1777439988,53
1777439993,57
1777439999,57
1777440004,57
1777440009,44
1777440014,44
1777440019,44
1777440024,47
1777440029,47
1777440034,47
1777440039,43
1777440044,43
1777440049,43
1777440054,24
1777440059,24
1777440064,24
1777440069,17
1777440074,17
1777440079,17
1777440084,16
1777440089,16
1777440094,16
1777440100,27
1777440105,27
1777440110,27
1777440115,24
1777440120,24
1777440125,24
1777440130,7
1777440135,7
1777440140,7
1777440145,7
1777440150,7
1777440155,7
1777440160,7
1777440165,7
1777440170,11
1777440175,11
1777440180,11
1777440185,17
1777440190,17
1777440195,17
1777440200,25
1777440205,25
1777440211,25
1777440216,32
1777440221,32
1777440226,32
1777440231,57
1777440236,48
1777440241,43
1777440246,67
1777440251,67
1777440256,67
1777440261,79
1777440266,79
1777440271,79
1777440276,46
1777440281,46
1777440286,46
1777440291,28
1777440296,28
1777440301,28
1777440306,17
1777440311,17
1777440316,17
1777440321,17
1777440327,17
1777440332,17
1777440337,25
1777440342,25
1777440347,25
1777440352,26
1777440357,26
1777440362,26
1777440367,11
1777440372,11
1777440377,11
1777440382,10
1777440387,10
1777440392,10
1777440397,9
1777440402,9
1777440407,8
1777440412,7
1777440417,7
1777440422,7
1777440427,8
1777440432,8
1777440438,8
1777440443,8
1777440448,8
1777440453,8
1777440458,7
1777440463,7
1777440468,7
1777440473,7
1777440478,7
1777440483,6
1777440488,4
1777440493,2
