timestamp,active_connections,reconnection_rate
1777397538,0.0,0.0
1777397543,8.0,0.0
1777397548,8.0,0.0
1777397553,67.0,0.0
1777397558,136.0,0.0
1777397563,136.0,0.0
1777397568,205.0,0.0
1777397573,269.0,0.0
1777397578,269.0,0.0
1777397583,332.0,0.0
1777397588,390.0,0.0
1777397593,413.0,0.0
1777397598,453.0,0.0
1777397603,534.0,0.0
1777397608,569.0,0.0
1777397613,599.0,0.0
1777397618,653.0,0.0
1777397623,712.0,0.0
1777397629,728.0,0.0
1777397634,758.0,0.0
1777397639,799.0,0.0
1777397644,800.0,0.0
1777397649,800.0,0.0
1777397654,800.0,0.0
1777397659,800.0,0.0
1777397664,800.0,0.0
1777397669,800.0,0.0
1777397674,800.0,0.0
1777397679,800.0,0.0
1777397684,800.0,0.0
1777397689,800.0,0.0
1777397694,800.0,0.0
1777397699,800.0,0.0
1777397704,800.0,0.0
1777397709,800.0,0.0
1777397714,800.0,0.0
1777397719,800.0,0.0
1777397724,386.0,0.0
1777397729,278.0,0.0
1777397734,0.0,0.0
1777397739,0.0,0.0
1777397744,0.0,0.0
1777397749,0.0,0.0
1777397755,0.0,0.0
1777397760,0.0,0.0
1777397765,0.0,0.0
1777397770,0.0,0.0
1777397775,0.0,0.0
1777397780,0.0,0.0
1777397785,13.0,0.0
1777397790,46.0,0.0
1777397795,58.0,0.0
1777397800,127.0,0.0
1777397805,179.0,0.0
1777397810,195.0,0.0
1777397815,260.0,0.0
1777397820,305.0,0.0
1777397825,318.0,0.0
1777397830,391.0,0.0
1777397835,436.0,0.0
1777397840,462.0,0.0
1777397845,509.0,0.0
1777397850,578.0,0.0
1777397855,598.0,0.0
1777397860,675.0,0.0
1777397865,701.0,0.0
1777397870,734.0,0.0
1777397876,847.0,0.0
1777397881,891.0,0.0
1777397886,929.0,0.0
1777397891,928.0,0.0
1777397896,868.0,0.0
1777397901,883.0,0.0
1777397906,885.0,0.0
1777397911,800.0,0.0
1777397916,800.0,0.0
1777397921,800.0,0.0
1777397926,800.0,0.0
1777397931,800.0,0.0
1777397936,800.0,0.0
1777397941,800.0,0.0
1777397946,800.0,0.0
1777397951,800.0,0.0
1777397956,800.0,0.0
1777397961,635.0,0.0
1777397966,329.0,0.0
1777397971,173.0,0.0
1777397976,0.0,0.0
1777397981,0.0,0.0
1777397986,0.0,0.0
1777397991,0.0,0.0
1777397996,0.0,0.0
1777398002,0.0,0.0
1777398007,0.0,0.0
1777398012,0.0,0.0
1777398017,0.0,0.0
1777398022,0.0,0.0
1777398027,0.0,0.0
1777398032,0.0,0.0
1777398037,0.0,0.0
1777398042,0.0,0.0
1777398047,0.0,0.0
1777398052,0.0,0.0
1777398057,0.0,0.0
1777398062,0.0,0.0
1777398067,0.0,0.0
1777398072,0.0,0.0
1777398077,0.0,0.0
1777398082,0.0,0.0
1777398087,0.0,0.0
1777398092,0.0,0.0
1777398097,0.0,0.0
1777398102,0.0,0.0
1777398107,0.0,0.0
