timestamp,spec_replicas,hpa_current,hpa_desired,metric_value
1777397535,2,,0,
1777397540,2,,0,
1777397545,2,,0,
1777397550,2,2.0,2,4.0
1777397555,2,2.0,2,4.0
1777397560,2,2.0,2,4.0
1777397565,2,2.0,2,68.0
1777397570,2,2.0,2,68.0
1777397576,2,2.0,2,68.0
1777397657,8,8.0,8,100.0
1777397662,8,8.0,8,100.0
1777397667,8,8.0,8,100.0
1777397672,8,8.0,8,100.0
1777397677,8,8.0,8,100.0
1777397683,8,8.0,8,100.0
1777397688,8,8.0,8,100.0
1777397693,8,8.0,8,100.0
1777397698,8,8.0,8,100.0
1777397703,8,8.0,8,100.0
1777397708,8,8.0,8,100.0
1777397713,8,8.0,8,100.0
1777397718,8,8.0,8,100.0
1777397723,8,8.0,8,100.0
1777397728,8,8.0,8,100.0
1777397749,8,8.0,8,0.0
1777397754,8,8.0,8,0.0
1777397759,8,8.0,8,0.0
1777397764,8,8.0,8,0.0
1777397769,8,8.0,8,0.0
1777397774,8,8.0,8,0.0
1777397779,8,8.0,8,0.0
1777397784,8,8.0,8,0.0
1777397789,8,8.0,8,0.0
1777397866,5,5.0,5,97.0
1777397871,5,5.0,5,97.0
1777397876,5,5.0,5,97.0
1777397881,7,5.0,7,135.0
1777397886,7,5.0,7,135.0
1777397891,7,5.0,7,135.0
1777397927,8,8.0,8,100.0
1777397932,8,8.0,8,100.0
1777397937,8,8.0,8,100.0
1777397942,8,8.0,8,100.0
1777397947,8,8.0,8,100.0
1777397952,8,8.0,8,100.0
1777397957,8,8.0,8,100.0
1777397963,8,8.0,8,100.0
1777397968,8,8.0,8,100.0
1777397988,8,8.0,8,0.0
1777397993,8,8.0,8,0.0
1777397998,8,8.0,8,0.0
1777398003,8,8.0,8,0.0
1777398008,8,8.0,8,0.0
1777398013,8,8.0,8,0.0
1777398018,8,8.0,8,0.0
1777398024,8,8.0,8,0.0
1777398029,8,8.0,8,0.0
1777398034,8,8.0,8,0.0
1777398039,8,8.0,8,0.0
1777398044,8,8.0,8,0.0
1777398049,8,8.0,8,0.0
1777398054,8,8.0,8,0.0
1777398059,8,8.0,8,0.0
1777398064,8,8.0,8,0.0
1777398069,8,8.0,8,0.0
1777398074,8,8.0,8,0.0
1777398080,6,8.0,6,0.0
1777398085,6,8.0,6,0.0
1777398090,6,8.0,6,0.0
1777398095,4,6.0,4,0.0
1777398100,4,6.0,4,0.0
1777398105,4,6.0,4,0.0
