timestamp,spec_replicas,keda_hpa
1777443453,2,",0"
1777443458,2,"2,2"
1777443463,2,"2,2"
1777443468,2,"2,2"
1777443473,2,"2,2"
1777443478,2,"2,2"
1777443483,2,"2,2"
1777443488,2,"2,2"
1777443493,2,"2,2"
1777443498,2,"2,2"
1777443503,4,"2,4"
1777443508,4,"2,4"
1777443513,4,"2,4"
1777443519,5,"4,5"
1777443524,5,"4,5"
1777443529,5,"4,5"
1777443534,7,"5,7"
1777443539,7,"5,7"
1777443544,7,"5,7"
1777443549,7,"7,7"
1777443554,7,"7,7"
1777443559,7,"7,7"
1777443564,8,"7,8"
1777443569,8,"7,8"
1777443574,8,"7,8"
1777443580,8,"8,8"
1777443585,8,"8,8"
1777443590,8,"8,8"
1777443595,8,"8,8"
1777443600,8,"8,8"
1777443605,8,"8,8"
1777443610,8,"8,8"
1777443615,8,"8,8"
1777443620,8,"8,8"
1777443625,8,"8,8"
1777443630,8,"8,8"
1777443635,8,"8,8"
1777443640,8,"8,8"
1777443646,8,"8,8"
1777443651,8,"8,8"
1777443656,8,"8,8"
1777443661,8,"8,8"
1777443666,8,"8,8"
1777443671,8,"8,8"
1777443676,8,"8,8"
1777443681,8,"8,8"
1777443686,8,"8,8"
1777443691,8,"8,8"
1777443696,8,"8,8"
1777443701,8,"8,8"
1777443707,8,"8,8"
1777443712,8,"8,8"
1777443717,8,"8,8"
1777443722,8,"8,8"
1777443727,8,"8,8"
1777443732,8,"8,8"
1777443737,8,"8,8"
1777443742,8,"8,8"
1777443747,8,"8,8"
1777443752,8,"8,8"
1777443757,8,"8,8"
1777443762,8,"8,8"
1777443767,8,"8,8"
1777443773,8,"8,8"
1777443778,8,"8,8"
1777443783,8,"8,8"
1777443788,8,"8,8"
1777443793,8,"8,8"
1777443798,8,"8,8"
1777443803,8,"8,8"
1777443808,8,"8,8"
1777443813,8,"8,8"
1777443818,8,"8,8"
1777443823,8,"8,8"
1777443828,8,"8,8"
1777443834,8,"8,8"
1777443839,8,"8,8"
1777443844,8,"8,8"
1777443849,8,"8,8"
1777443854,8,"8,8"
1777443859,8,"8,8"
1777443864,8,"8,8"
1777443869,8,"8,8"
1777443874,8,"8,8"
1777443879,8,"8,8"
1777443884,8,"8,8"
1777443889,8,"8,8"
1777443894,8,"8,8"
1777443900,8,"8,8"
1777443905,8,"8,8"
1777443910,8,"8,8"
1777443915,8,"8,8"
1777443920,8,"8,8"
1777443925,8,"8,8"
1777443930,8,"8,8"
1777443935,8,"8,8"
1777443940,8,"8,8"
1777443945,8,"8,8"
1777443950,8,"8,8"
1777443955,8,"8,8"
1777443960,8,"8,8"
1777443966,8,"8,8"
1777443971,8,"8,8"
1777443976,8,"8,8"
1777443981,8,"8,8"
1777443986,8,"8,8"
1777443991,8,"8,8"
1777443996,8,"8,8"
1777444001,8,"8,8"
1777444006,8,"8,8"
1777444011,8,"8,8"
1777444016,8,"8,8"
1777444021,8,"8,8"
