time_s,replicas,active_connections,cpu_millicores,memory_mi
0,1,0.0,0.0,0.0
3,1,0.0,0,0.0
5,1,0.0,0,0.0
6,1,0.0,0,0.0
8,1,0.0,29,0.0
10,1,0.0,29,21.0
11,1,0.0,29,21.0
14,1,0.0,29,21.0
15,1,0.0,29,21.0
16,1,35.0,29,21.0
19,1,35.0,29,21.0
20,1,35.0,29,21.0
21,1,35.0,29,21.0
24,1,35.0,5,21.0
26,1,35.0,5,22.0
29,1,35.0,5,22.0
31,1,285.0,5,22.0
32,1,285.0,5,22.0
35,1,285.0,5,22.0
36,1,285.0,5,24.0
37,1,285.0,5,24.0
40,1,285.0,47,24.0
41,1,285.0,47,24.0
42,1,285.0,47,24.0
45,1,285.0,47,24.0
47,1,339.0,47,24.0
50,1,339.0,47,24.0
52,1,339.0,47,29.0
56,1,339.0,55,29.0
57,1,339.0,55,29.0
58,1,339.0,55,29.0
61,1,339.0,55,29.0
62,1,339.0,55,29.0
63,1,339.0,55,29.0
66,1,339.0,101,29.0
67,1,339.0,101,29.0
68,2,339.0,101,34.0
72,2,339.0,101,34.0
73,2,339.0,101,34.0
77,2,339.0,101,34.0
78,2,339.0,101,34.0
79,2,339.0,101,34.0
82,2,339.0,110,34.0
83,2,339.0,110,58.0
84,2,339.0,110,58.0
87,2,339.0,110,58.0
89,2,339.0,110,58.0
92,2,339.0,110,58.0
93,2,339.0,110,58.0
94,2,339.0,110,58.0
98,2,339.0,45,58.0
99,2,339.0,45,59.0
100,2,339.0,45,59.0
103,2,339.0,45,59.0
104,2,339.0,45,59.0
105,2,339.0,45,59.0
108,2,339.0,45,59.0
110,2,339.0,45,59.0
113,2,339.0,44,59.0
115,2,339.0,44,61.0
118,2,339.0,44,61.0
119,2,339.0,44,61.0
120,2,339.0,44,61.0
123,2,339.0,44,61.0
124,2,339.0,44,61.0
125,2,339.0,44,61.0
126,2,339.0,44,61.0
128,2,339.0,44,61.0
129,2,339.0,32,61.0
131,2,339.0,32,61.0
133,2,339.0,32,61.0
135,2,339.0,32,61.0
136,2,339.0,32,61.0
138,2,339.0,32,61.0
140,2,339.0,32,61.0
141,2,339.0,32,61.0
143,2,339.0,32,61.0
145,2,339.0,12,61.0
147,2,339.0,12,61.0
149,2,339.0,12,61.0
150,2,339.0,12,61.0
152,2,339.0,12,61.0
154,2,339.0,12,61.0
156,2,339.0,12,61.0
157,2,339.0,12,60.0
159,2,339.0,12,60.0
161,2,339.0,15,60.0
162,2,339.0,15,60.0
164,2,339.0,15,60.0
166,2,339.0,15,60.0
167,2,339.0,15,60.0
169,2,339.0,15,60.0
171,2,339.0,6,60.0
173,2,339.0,6,60.0
174,2,339.0,6,60.0
176,2,339.0,6,60.0
178,2,339.0,6,60.0
179,2,339.0,6,60.0
181,2,339.0,6,60.0
183,2,339.0,6,60.0
184,2,339.0,6,60.0
187,2,339.0,19,60.0
188,2,339.0,19,61.0
189,2,339.0,19,61.0
192,2,339.0,19,61.0
194,2,339.0,19,61.0
197,2,339.0,19,61.0
199,2,339.0,19,61.0
202,2,339.0,15,61.0
204,2,339.0,15,61.0
205,2,339.0,15,61.0
208,2,339.0,15,61.0
209,2,339.0,15,61.0
210,2,339.0,15,61.0
213,2,339.0,15,61.0
215,2,339.0,15,61.0
218,2,339.0,15,61.0
220,2,339.0,15,61.0
224,2,339.0,15,61.0
225,2,339.0,15,61.0
229,2,339.0,15,61.0
230,2,339.0,15,61.0
234,2,339.0,11,61.0
235,2,339.0,11,60.0
239,2,339.0,11,60.0
240,2,339.0,11,60.0
244,2,339.0,11,60.0
245,2,339.0,11,60.0
246,2,339.0,11,60.0
249,2,339.0,4,60.0
250,2,339.0,4,60.0
251,2,339.0,4,60.0
255,2,339.0,4,60.0
256,3,339.0,4,60.0
260,3,364.0,4,60.0
261,3,364.0,4,82.0
265,3,405.0,45,82.0
266,3,405.0,45,82.0
270,3,405.0,45,82.0
271,3,453.0,45,82.0
275,3,453.0,45,82.0
276,3,500.0,45,83.0
280,3,500.0,62,83.0
281,3,555.0,62,83.0
282,3,555.0,62,83.0
285,3,555.0,62,83.0
286,3,607.0,62,83.0
287,3,607.0,62,83.0
291,3,626.0,32,83.0
292,3,626.0,32,84.0
296,3,637.0,32,84.0
297,3,637.0,32,84.0
301,3,639.0,32,84.0
302,3,639.0,32,84.0
306,3,639.0,16,84.0
307,3,639.0,16,84.0
311,3,639.0,16,84.0
313,3,639.0,16,84.0
316,3,639.0,16,84.0
317,3,639.0,16,84.0
318,3,639.0,16,84.0
321,3,639.0,16,84.0
322,3,639.0,38,84.0
323,3,639.0,38,85.0
326,3,639.0,38,85.0
327,3,639.0,38,85.0
328,3,639.0,38,85.0
331,3,639.0,38,85.0
333,3,639.0,38,85.0
336,3,639.0,38,85.0
338,3,639.0,59,85.0
339,3,639.0,59,85.0
342,3,639.0,59,85.0
343,3,639.0,59,85.0
344,3,639.0,59,85.0
347,3,639.0,59,85.0
348,3,639.0,59,85.0
349,3,639.0,59,85.0
352,3,639.0,59,85.0
353,3,639.0,36,85.0
354,3,639.0,36,86.0
357,3,639.0,36,86.0
359,3,639.0,36,86.0
360,3,639.0,36,86.0
362,3,639.0,36,86.0
364,3,639.0,36,86.0
365,3,639.0,36,86.0
367,3,639.0,36,86.0
369,3,639.0,23,86.0
370,3,639.0,23,86.0
372,3,639.0,23,86.0
374,3,639.0,23,86.0
375,3,639.0,23,86.0
377,3,639.0,23,86.0
380,3,639.0,23,86.0
382,3,639.0,23,86.0
385,3,639.0,17,86.0
386,3,639.0,17,85.0
387,3,639.0,17,85.0
390,3,639.0,17,85.0
391,3,639.0,17,85.0
393,3,639.0,17,85.0
396,3,639.0,17,85.0
398,3,639.0,17,85.0
401,3,639.0,26,85.0
403,3,639.0,26,85.0
406,3,639.0,26,85.0
408,3,639.0,26,85.0
411,3,639.0,25,85.0
412,3,639.0,25,85.0
413,3,639.0,25,85.0
416,3,639.0,25,85.0
417,3,639.0,25,85.0
418,3,639.0,25,85.0
422,3,639.0,25,85.0
423,3,639.0,25,85.0
427,3,639.0,9,86.0
428,3,639.0,9,86.0
432,3,639.0,9,86.0
433,3,639.0,9,86.0
438,1,639.0,9,86.0
443,1,639.0,20,86.0
444,1,639.0,20,86.0
448,1,639.0,20,86.0
449,1,639.0,20,86.0
453,1,639.0,20,86.0
454,1,639.0,20,86.0
458,1,639.0,23,85.0
459,1,639.0,23,85.0
464,1,639.0,23,85.0
469,1,639.0,23,85.0
474,1,639.0,21,86.0
479,1,639.0,21,86.0
484,1,639.0,21,86.0
489,1,639.0,21,86.0
490,1,639.0,9,85.0
495,1,639.0,3,37.0
500,1,639.0,3,37.0
505,1,639.0,29,38.0
510,1,837.0,29,38.0
511,1,837.0,29,38.0
515,1,837.0,29,38.0
516,1,837.0,20,38.0
520,1,746.0,20,38.0
521,1,746.0,20,38.0
525,1,639.0,20,38.0
526,1,639.0,20,38.0
530,1,639.0,20,38.0
532,1,639.0,14,38.0
535,1,639.0,14,38.0
537,1,639.0,14,38.0
540,1,639.0,14,38.0
542,1,639.0,14,38.0
546,1,639.0,14,38.0
547,1,639.0,7,38.0
551,1,639.0,7,38.0
552,1,639.0,7,38.0
556,1,639.0,7,38.0
558,1,639.0,7,38.0
561,1,639.0,7,38.0
563,1,639.0,7,38.0
566,1,639.0,7,38.0
568,1,639.0,7,38.0
571,1,639.0,7,38.0
573,1,639.0,7,38.0
576,1,639.0,7,38.0
579,1,639.0,21,38.0
581,1,639.0,21,38.0
584,1,639.0,21,38.0
586,1,639.0,21,38.0
589,1,639.0,21,38.0
591,1,639.0,21,38.0
594,1,639.0,21,38.0
597,1,639.0,21,38.0
599,1,639.0,21,38.0
602,1,639.0,21,38.0
605,1,639.0,21,38.0
607,1,639.0,21,38.0
610,1,639.0,13,39.0
612,1,639.0,13,39.0
615,1,639.0,13,39.0
617,1,0.0,13,39.0
620,1,0.0,13,39.0
622,1,0.0,13,39.0
625,1,0.0,7,39.0
627,1,0.0,7,39.0
631,1,0.0,7,39.0
632,1,0.0,7,39.0
