time_s,conn_x
7,0
13,35
18,35
23,35
28,285
33,285
38,285
43,339
48,339
53,339
58,339
63,339
68,339
73,339
79,339
84,0
89,0
94,0
99,0
104,0
109,0
114,0
119,0
124,0
129,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
196,0
201,0
206,0
211,0
216,0
221,0
226,0
231,0
236,0
242,0
247,0
252,0
257,0
262,25
267,41
272,41
277,41
282,96
287,96
292,96
297,107
302,107
307,107
312,107
318,107
323,107
328,107
333,107
338,107
343,107
348,107
353,107
358,107
363,107
369,107
374,107
379,107
384,107
389,107
394,107
399,107
404,107
409,107
414,107
420,107
425,107
430,107
435,107
440,107
445,107
450,107
455,107
460,107
465,107
471,107
476,107
481,107
486,107
491,107
496,107
501,107
506,107
511,107
516,107
522,639
527,639
532,639
537,639
542,639
547,639
552,639
557,639
562,639
567,639
573,639
578,639
583,639
588,639
593,639
598,639
603,639
608,639
613,639
618,0
624,0
629,0
634,0
639,0
644,0
649,0
654,0
659,0
664,0
669,0
674,0
680,0
685,0
690,0
695,0
700,0
705,0
