time_s,replicas,active_connections,cpu_millicores,memory_mi,drain_active
0,2,0.0,0.0,0.0,0
3,2,0.0,2,42.0,0
6,2,0.0,2,42.0,0
7,2,0.0,2,42.0,0
8,2,0.0,4,42.0,0
11,2,0.0,4,42.0,0
13,2,0.0,4,42.0,0
16,2,34.0,4,42.0,0
17,2,34.0,54,42.0,0
19,2,34.0,54,44.0,0
21,2,36.0,54,44.0,0
22,2,36.0,54,44.0,0
24,2,36.0,54,58.0,0
26,2,286.0,54,58.0,0
27,2,286.0,93,58.0,0
28,2,286.0,93,58.0,0
29,2,286.0,93,57.0,0
31,2,283.0,93,57.0,0
32,2,283.0,83,57.0,0
33,2,283.0,83,57.0,0
34,2,283.0,83,62.0,0
35,2,339.0,83,62.0,0
37,2,339.0,38,62.0,0
38,3,339.0,38,62.0,0
39,3,339.0,38,69.0,0
41,3,338.0,38,69.0,0
42,3,338.0,51,69.0,0
44,3,338.0,51,68.0,0
45,3,339.0,51,68.0,0
48,3,339.0,42,68.0,0
49,3,339.0,42,68.0,0
51,3,338.0,42,68.0,0
53,3,338.0,22,95.0,0
54,3,338.0,22,95.0,0
56,3,340.0,22,95.0,0
57,3,340.0,22,93.0,0
58,3,340.0,22,93.0,0
59,3,340.0,22,93.0,0
60,3,340.0,22,93.0,0
62,3,340.0,22,95.0,0
63,3,340.0,26,95.0,0
64,3,339.0,26,95.0,0
67,3,339.0,26,93.0,0
68,3,339.0,24,93.0,0
69,3,339.0,24,93.0,0
72,3,339.0,24,94.0,0
73,3,339.0,24,94.0,0
74,3,339.0,29,94.0,0
75,3,339.0,29,94.0,0
78,3,339.0,29,96.0,0
79,3,339.0,26,96.0,0
80,3,339.0,26,96.0,0
83,3,339.0,26,96.0,0
84,3,340.0,25,96.0,0
87,3,340.0,25,95.0,0
88,3,340.0,24,95.0,0
89,3,340.0,24,95.0,0
90,3,339.0,24,95.0,0
92,3,339.0,23,95.0,0
93,3,339.0,23,94.0,0
94,3,340.0,23,94.0,0
97,3,340.0,24,94.0,0
98,3,340.0,24,96.0,0
100,3,340.0,24,96.0,0
102,3,340.0,18,97.0,0
103,3,340.0,18,97.0,0
105,3,339.0,18,97.0,0
106,3,339.0,20,97.0,0
107,3,339.0,20,97.0,0
110,3,339.0,18,97.0,0
111,3,339.0,18,97.0,0
112,3,339.0,18,97.0,0
113,3,339.0,18,97.0,0
115,3,339.0,23,97.0,0
116,3,340.0,23,97.0,0
117,3,340.0,23,95.0,0
119,3,340.0,23,95.0,0
120,3,340.0,22,95.0,0
121,3,340.0,22,95.0,0
123,3,340.0,22,97.0,0
124,3,340.0,22,97.0,0
125,3,340.0,26,97.0,0
126,3,339.0,26,97.0,0
129,3,339.0,26,95.0,0
130,3,339.0,20,95.0,0
132,3,338.0,20,95.0,0
135,3,338.0,22,94.0,0
137,3,338.0,22,94.0,0
139,3,338.0,22,94.0,0
140,3,338.0,22,95.0,0
141,3,338.0,18,95.0,0
143,3,338.0,18,95.0,0
145,3,338.0,18,93.0,0
146,3,339.0,22,93.0,0
147,3,339.0,22,93.0,0
151,3,339.0,22,96.0,0
152,3,339.0,21,96.0,0
156,3,338.0,15,96.0,0
157,3,338.0,15,97.0,0
160,3,338.0,18,97.0,0
161,3,338.0,18,97.0,0
162,3,338.0,18,94.0,0
164,3,338.0,17,94.0,0
165,3,338.0,17,94.0,0
166,3,338.0,17,94.0,0
168,3,338.0,17,93.0,0
169,3,338.0,15,93.0,0
171,3,339.0,15,93.0,0
173,3,339.0,15,93.0,0
175,3,339.0,15,93.0,0
176,3,340.0,15,93.0,0
178,3,340.0,15,94.0,0
179,3,340.0,15,94.0,0
180,3,339.0,15,94.0,0
183,3,339.0,15,94.0,0
184,3,340.0,18,94.0,0
185,3,340.0,18,94.0,0
188,3,340.0,18,93.0,0
189,3,338.0,18,93.0,0
190,3,338.0,15,93.0,0
193,3,339.0,15,94.0,0
195,3,339.0,15,94.0,0
196,3,339.0,17,94.0,0
198,3,338.0,17,96.0,0
201,3,338.0,13,96.0,0
203,3,339.0,13,94.0,0
206,3,339.0,13,94.0,0
209,3,340.0,13,97.0,0
211,3,340.0,16,97.0,0
212,3,340.0,16,97.0,0
214,3,339.0,16,97.0,0
215,3,339.0,14,97.0,0
218,3,340.0,14,97.0,0
219,3,340.0,14,94.0,0
220,3,340.0,16,94.0,0
223,3,338.0,16,94.0,0
224,3,338.0,16,95.0,0
225,3,338.0,14,95.0,0
228,3,338.0,14,95.0,0
229,3,340.0,17,93.0,0
233,3,338.0,17,94.0,0
234,3,338.0,10,94.0,0
238,3,339.0,10,93.0,0
239,3,339.0,12,93.0,0
242,3,340.0,12,93.0,0
243,3,340.0,12,93.0,0
244,3,340.0,15,93.0,0
247,3,340.0,15,93.0,0
248,3,340.0,16,96.0,0
251,3,340.0,16,96.0,0
253,3,340.0,11,97.0,0
256,3,340.0,11,97.0,0
258,3,340.0,11,93.0,0
259,3,339.0,11,93.0,0
261,3,339.0,11,93.0,0
264,3,338.0,10,95.0,0
266,3,338.0,10,95.0,0
268,3,338.0,10,95.0,0
270,3,340.0,8,95.0,0
271,3,340.0,8,95.0,0
273,3,340.0,8,97.0,0
275,3,338.0,10,97.0,0
276,3,338.0,10,97.0,0
278,3,338.0,10,93.0,0
279,3,340.0,10,93.0,0
280,3,340.0,11,93.0,0
283,3,339.0,11,96.0,0
284,3,339.0,11,96.0,0
285,3,339.0,8,96.0,0
288,3,339.0,8,95.0,0
290,3,339.0,13,95.0,0
293,3,340.0,13,93.0,0
295,3,340.0,4,93.0,0
297,3,340.0,4,93.0,0
298,3,340.0,4,93.0,0
299,3,340.0,10,93.0,0
302,3,339.0,10,96.0,0
304,3,339.0,14,96.0,0
306,3,339.0,14,96.0,0
307,3,339.0,14,97.0,0
309,3,339.0,14,97.0,0
311,3,339.0,14,97.0,0
312,3,339.0,14,98.0,0
314,3,339.0,17,98.0,0
316,3,338.0,17,98.0,0
317,3,338.0,17,94.0,0
319,3,338.0,12,94.0,0
321,3,338.0,12,94.0,0
323,3,338.0,12,97.0,0
324,3,338.0,18,97.0,0
326,3,340.0,18,97.0,0
328,3,340.0,18,98.0,0
329,3,340.0,16,98.0,0
331,3,338.0,16,98.0,0
333,3,338.0,19,95.0,0
336,3,338.0,19,95.0,0
337,3,338.0,19,95.0,0
338,3,338.0,11,95.0,0
341,3,339.0,11,95.0,0
342,3,339.0,15,97.0,0
343,3,339.0,15,97.0,0
346,3,338.0,15,97.0,0
347,3,338.0,13,96.0,0
348,3,338.0,13,96.0,0
351,3,339.0,13,96.0,0
352,3,339.0,14,97.0,0
353,3,339.0,14,97.0,0
355,3,340.0,14,97.0,0
357,3,340.0,11,97.0,0
358,3,340.0,11,97.0,0
361,3,340.0,11,97.0,0
362,3,340.0,14,96.0,0
366,3,340.0,14,96.0,0
367,3,340.0,13,96.0,0
368,3,340.0,13,96.0,0
372,3,338.0,14,96.0,0
373,3,338.0,14,94.0,0
377,3,339.0,16,94.0,0
378,3,339.0,16,98.0,0
381,3,339.0,16,98.0,0
382,3,340.0,15,95.0,0
386,3,340.0,17,95.0,0
387,3,338.0,17,96.0,0
391,3,338.0,32,96.0,1
392,3,341.0,32,99.0,1
395,3,341.0,32,99.0,1
396,3,341.0,40,99.0,1
397,3,339.0,40,99.0,1
400,3,339.0,40,99.0,1
401,3,339.0,31,99.0,1
402,3,339.0,31,102.0,1
403,3,339.0,31,102.0,1
405,3,339.0,31,102.0,1
406,3,339.0,30,102.0,1
408,3,339.0,30,101.0,1
410,3,339.0,32,101.0,1
413,3,339.0,32,101.0,1
414,3,339.0,32,101.0,1
415,3,339.0,24,101.0,1
417,3,339.0,24,101.0,1
420,3,339.0,31,102.0,1
422,3,339.0,31,102.0,1
425,3,339.0,31,98.0,1
426,3,339.0,26,98.0,1
430,3,339.0,26,100.0,1
431,3,339.0,25,100.0,1
434,3,339.0,25,100.0,1
435,3,339.0,25,99.0,1
436,3,339.0,25,99.0,1
437,3,339.0,17,99.0,1
439,3,339.0,17,99.0,1
440,3,339.0,17,98.0,1
441,3,339.0,17,98.0,1
442,3,339.0,11,98.0,1
444,3,339.0,11,98.0,1
445,3,339.0,11,101.0,1
446,3,339.0,16,101.0,1
448,3,339.0,16,101.0,1
450,3,338.0,13,102.0,0
453,3,338.0,13,102.0,0
454,3,338.0,13,101.0,0
455,3,338.0,16,101.0,0
456,3,337.0,16,101.0,0
458,3,337.0,16,101.0,0
459,3,337.0,16,102.0,0
460,3,337.0,12,102.0,0
461,3,338.0,12,102.0,0
463,3,338.0,12,102.0,0
464,3,338.0,12,100.0,0
466,3,340.0,13,100.0,0
468,3,340.0,13,100.0,0
469,3,340.0,13,99.0,0
471,3,338.0,18,99.0,0
473,3,338.0,18,99.0,0
474,3,338.0,18,98.0,0
475,3,338.0,15,98.0,0
476,3,338.0,15,98.0,0
479,3,338.0,17,100.0,0
481,3,339.0,17,100.0,0
484,3,339.0,17,98.0,0
485,3,339.0,15,98.0,0
486,3,341.0,15,98.0,0
489,3,341.0,15,98.0,0
490,3,341.0,15,99.0,0
491,3,340.0,15,99.0,0
494,3,340.0,15,99.0,0
495,3,340.0,11,99.0,0
496,3,339.0,11,102.0,0
499,3,339.0,11,102.0,0
500,3,339.0,12,102.0,0
501,3,338.0,12,102.0,0
504,3,338.0,12,102.0,0
505,3,338.0,17,98.0,0
507,3,338.0,17,98.0,0
508,3,338.0,17,98.0,0
511,3,338.0,15,99.0,0
513,3,338.0,15,99.0,0
514,3,338.0,15,99.0,0
517,3,338.0,12,101.0,0
518,3,338.0,12,101.0,0
520,3,338.0,12,101.0,0
521,3,338.0,13,101.0,0
524,3,337.0,13,101.0,0
525,3,337.0,13,100.0,0
526,3,337.0,15,100.0,0
529,3,337.0,15,100.0,0
530,3,337.0,15,99.0,0
532,3,337.0,17,99.0,0
533,3,337.0,17,99.0,0
535,3,339.0,17,102.0,0
537,3,339.0,10,102.0,0
540,3,339.0,10,102.0,0
542,3,339.0,15,102.0,0
543,3,339.0,15,102.0,0
545,3,337.0,15,102.0,0
546,3,337.0,14,102.0,0
548,3,337.0,14,102.0,0
549,3,337.0,14,99.0,0
550,3,340.0,14,99.0,0
551,3,340.0,20,99.0,0
554,3,340.0,20,102.0,0
555,3,339.0,19,102.0,0
559,3,339.0,19,100.0,0
560,3,339.0,19,100.0,0
561,3,339.0,15,100.0,0
564,3,339.0,15,100.0,0
565,3,339.0,15,100.0,0
566,3,337.0,15,100.0,0
567,3,337.0,18,100.0,0
569,3,337.0,18,100.0,0
570,3,339.0,18,100.0,0
572,3,339.0,17,100.0,0
574,3,337.0,17,101.0,0
575,3,337.0,17,101.0,0
577,3,337.0,16,101.0,0
578,3,337.0,16,101.0,0
579,3,337.0,16,101.0,0
582,3,337.0,16,101.0,0
583,3,341.0,16,101.0,0
584,3,341.0,16,100.0,0
586,3,341.0,14,100.0,0
588,3,340.0,14,100.0,0
589,3,340.0,14,98.0,0
591,3,340.0,16,98.0,0
593,3,341.0,16,98.0,0
594,3,341.0,16,99.0,0
597,3,341.0,13,99.0,0
598,3,341.0,13,99.0,0
599,3,339.0,13,102.0,0
602,3,339.0,2,102.0,0
603,1,338.0,2,102.0,0
604,1,338.0,2,82.0,0
606,1,338.0,2,82.0,0
608,1,340.0,2,82.0,0
611,1,340.0,2,82.0,0
612,1,340.0,2,82.0,0
613,1,337.0,2,84.0,0
617,1,337.0,2,80.0,0
618,1,337.0,2,80.0,0
619,1,339.0,2,80.0,0
622,1,339.0,2,80.0,0
623,1,339.0,2,82.0,0
624,1,338.0,2,82.0,0
627,1,338.0,2,80.0,0
629,1,338.0,2,80.0,0
630,1,338.0,2,80.0,0
632,1,338.0,2,83.0,0
635,1,337.0,2,83.0,0
637,1,337.0,2,84.0,0
639,1,337.0,2,84.0,0
641,1,339.0,2,83.0,0
642,1,339.0,2,83.0,0
645,1,341.0,2,81.0,0
648,1,341.0,2,81.0,0
649,1,338.0,2,83.0,0
653,1,338.0,2,83.0,0
654,1,338.0,2,84.0,0
655,1,340.0,2,84.0,0
658,1,340.0,2,84.0,0
659,1,340.0,2,83.0,0
660,1,337.0,2,83.0,0
663,1,337.0,2,82.0,0
665,1,337.0,2,82.0,0
666,1,337.0,2,82.0,0
668,1,337.0,2,82.0,0
669,1,340.0,2,80.0,0
672,1,340.0,2,80.0,0
673,1,340.0,2,80.0,0
674,1,341.0,2,83.0,0
677,1,341.0,2,83.0,0
679,1,337.0,2,84.0,0
682,1,337.0,2,84.0,0
684,1,337.0,2,82.0,0
685,1,337.0,2,82.0,0
687,1,337.0,2,82.0,0
689,1,340.0,2,82.0,0
690,1,340.0,2,82.0,0
692,1,340.0,2,82.0,0
693,1,337.0,2,83.0,0
695,1,337.0,2,83.0,0
697,1,337.0,2,83.0,0
698,1,339.0,2,83.0,0
699,1,339.0,2,82.0,0
701,1,339.0,2,82.0,0
702,1,339.0,2,82.0,0
704,1,338.0,2,81.0,0
705,1,338.0,2,81.0,0
707,1,338.0,2,81.0,0
709,1,340.0,2,83.0,0
710,1,340.0,2,83.0,0
712,1,340.0,2,83.0,0
714,1,340.0,2,60.0,0
715,1,124.0,2,60.0,0
717,1,124.0,2,60.0,0
719,1,0.0,2,60.0,0
720,1,0.0,2,60.0,0
722,1,0.0,2,60.0,0
724,1,0.0,2,44.0,0
725,1,0.0,2,44.0,0
727,1,0.0,2,44.0,0
730,1,0.0,2,44.0,0
731,1,0.0,2,44.0,0
735,1,0.0,2,44.0,0
736,1,0.0,2,40.0,0
737,1,0.0,2,40.0,0
740,1,0.0,2,42.0,0
741,1,0.0,2,42.0,0
742,1,0.0,2,42.0,0
745,1,0.0,2,43.0,0
746,1,0.0,2,43.0,0
747,1,0.0,2,43.0,0
750,1,0.0,2,43.0,0
751,1,0.0,2,43.0,0
752,1,0.0,2,43.0,0
754,1,0.0,2,44.0,0
756,1,0.0,2,44.0,0
757,1,0.0,2,44.0,0
760,1,0.0,2,42.0,0
762,1,0.0,2,42.0,0
764,1,0.0,2,41.0,0
766,1,0.0,2,41.0,0
768,1,0.0,2,41.0,0
769,1,0.0,2,40.0,0
771,1,0.0,2,40.0,0
772,1,0.0,2,40.0,0
773,1,0.0,2,40.0,0
775,1,0.0,2,40.0,0
777,1,0.0,2,40.0,0
778,1,0.0,2,40.0,0
780,1,0.0,2,43.0,0
782,1,0.0,2,43.0,0
783,1,0.0,2,43.0,0
785,1,0.0,2,40.0,0
787,1,0.0,2,40.0,0
788,1,0.0,2,40.0,0
790,1,0.0,2,43.0,0
792,1,0.0,2,43.0,0
793,1,0.0,2,43.0,0
794,1,0.0,2,43.0,0
796,1,0.0,2,43.0,0
799,1,0.0,2,43.0,0
800,1,0.0,2,42.0,0
801,1,0.0,2,42.0,0
804,1,0.0,2,42.0,0
805,1,0.0,2,44.0,0
806,1,0.0,2,44.0,0
808,1,0.0,2,44.0,0
809,1,0.0,2,41.0,0
811,1,0.0,2,41.0,0
813,1,0.0,2,41.0,0
814,1,0.0,2,43.0,0
815,1,0.0,2,43.0,0
816,1,0.0,2,43.0,0
818,1,0.0,2,43.0,0
820,1,0.0,2,40.0,0
821,1,0.0,2,40.0,0
823,1,0.0,2,40.0,0
824,1,0.0,2,41.0,0
826,1,0.0,2,41.0,0
827,1,0.0,2,41.0,0
828,1,0.0,2,41.0,0
830,1,0.0,2,42.0,0
832,1,0.0,2,42.0,0
833,1,0.0,2,42.0,0
834,1,0.0,2,42.0,0
837,1,0.0,2,42.0,0
838,1,0.0,2,42.0,0
839,1,0.0,2,40.0,0
841,1,0.0,2,40.0,0
843,1,0.0,2,40.0,0
844,1,0.0,2,40.0,0
845,1,0.0,2,41.0,0
846,1,0.0,2,41.0,0
848,1,0.0,2,41.0,0
849,1,0.0,2,41.0,0
850,1,0.0,2,44.0,0
851,1,0.0,2,44.0,0
854,1,0.0,2,44.0,0
855,1,0.0,2,42.0,0
857,1,0.0,2,42.0,0
859,1,0.0,2,40.0,0
