time_s,conn_mqtt-broker-7f4d8b6c9-m9vtl,conn_mqtt-broker-7f4d8b6c9-r7hqw,conn_mqtt-broker-7f4d8b6c9-xk2np
5,0,0,0
10,0,0,0
14,0,0,0
19,13,0,20
24,133,0,151
28,131,0,152
33,164,0,175
38,165,0,174
43,167,0,173
48,164,0,176
53,164,0,176
58,160,0,178
64,164,0,175
69,163,0,175
75,164,0,174
81,164,0,176
86,164,0,176
91,162,0,178
96,163,0,176
102,165,0,175
107,165,0,174
112,165,0,174
117,165,0,174
121,165,0,175
126,161,0,178
131,161,0,177
136,162,0,177
141,162,0,176
147,166,0,174
153,163,0,175
158,164,0,176
163,163,0,175
167,162,0,177
172,166,0,174
177,160,0,178
182,164,0,175
187,163,0,175
192,163,0,175
197,165,0,175
202,163,0,176
207,164,0,174
212,166,0,174
218,166,0,174
223,162,0,176
229,166,0,174
233,164,0,174
239,166,0,174
244,165,0,175
248,164,0,176
253,163,0,177
258,166,0,174
263,165,0,174
269,163,0,175
274,162,0,177
279,165,0,175
284,163,0,176
289,165,0,174
293,162,0,178
297,162,0,178
302,163,0,176
307,163,0,175
312,161,0,177
317,164,0,174
322,161,0,178
328,166,0,174
333,164,0,174
338,164,0,175
344,163,0,177
350,164,0,176
355,162,0,178
360,164,0,175
366,164,0,176
371,164,0,174
376,163,0,175
381,163,0,177
386,163,0,175
391,163,0,176
396,169,6,164
401,177,17,145
405,183,24,132
410,198,39,102
415,210,52,77
419,219,62,58
425,232,78,29
430,244,87,8
435,246,93,0
440,247,90,0
445,245,94,0
450,247,91,0
456,244,93,0
462,245,93,0
468,248,93,0
473,248,89,0
477,249,89,0
482,246,92,0
487,244,95,0
492,244,97,0
497,250,87,0
502,249,88,0
507,248,90,0
511,246,92,0
517,247,90,0
522,244,97,0
527,244,93,0
531,250,87,0
535,249,90,0
541,249,91,0
546,250,91,0
551,248,92,0
556,253,87,0
560,255,82,0
564,270,68,0
570,285,54,0
575,303,37,0
580,318,21,0
585,329,9,0
590,340,1,0
595,337,1,0
600,341,0,0
604,339,0,0
609,337,0,0
614,337,0,0
618,341,0,0
622,337,0,0
627,341,0,0
632,338,0,0
636,339,0,0
642,337,0,0
646,338,0,0
651,337,0,0
656,339,0,0
662,337,0,0
667,337,0,0
671,338,0,0
676,339,0,0
680,338,0,0
686,339,0,0
691,341,0,0
697,337,0,0
703,339,0,0
709,340,0,0
714,172,0,0
720,0,0,0
725,0,0,0
730,0,0,0
735,0,0,0
740,0,0,0
746,0,0,0
751,0,0,0
756,0,0,0
762,0,0,0
768,0,0,0
772,0,0,0
778,0,0,0
782,0,0,0
787,0,0,0
792,0,0,0
797,0,0,0
801,0,0,0
806,0,0,0
811,0,0,0
816,0,0,0
822,0,0,0
826,0,0,0
831,0,0,0
835,0,0,0
840,0,0,0
845,0,0,0
851,0,0,0
856,0,0,0
