timestamp,active_connections
1777464805,0
1777464810,0
1777464815,0
1777464820,0
1777464825,0
1777464830,24
1777464835,72
1777464840,72
1777464845,137
1777464850,201
1777464855,201
1777464860,291
1777464865,325
1777464870,325
1777464875,411
1777464880,480
1777464885,480
1777464890,541
1777464895,627
1777464900,627
1777464905,673
1777464910,760
1777464915,760
1777464920,789
1777464925,800
1777464930,800
1777464935,800
1777464940,800
1777464945,800
1777464950,800
1777464955,800
1777464960,800
1777464965,800
1777464970,800
1777464975,800
1777464980,800
1777464985,800
1777464990,800
1777464995,800
1777465000,800
1777465005,800
1777465010,399
1777465015,0
1777465020,0
1777465025,0
1777465030,0
1777465035,0
1777465040,0
1777465045,0
1777465050,0
1777465055,0
1777465060,0
1777465065,0
1777465070,11
1777465075,72
1777465080,72
1777465085,125
1777465090,212
1777465096,212
1777465101,254
1777465106,341
1777465111,341
1777465116,391
1777465121,483
1777465126,483
1777465131,526
1777465136,602
1777465141,602
1777465146,666
1777465151,742
1777465156,754
1777465161,817
1777465166,901
1777465171,915
1777465176,949
1777465181,800
1777465186,800
1777465191,800
1777465196,800
1777465201,800
1777465206,800
1777465211,800
1777465216,800
1777465221,800
1777465226,800
1777465231,800
1777465236,800
1777465241,800
1777465246,661
1777465251,414
1777465256,0
1777465261,0
1777465266,0
1777465271,0
1777465276,0
1777465281,0
1777465286,0
1777465291,0
1777465296,0
1777465301,0
1777465306,0
1777465311,0
1777465316,0
1777465321,0
1777465326,0
1777465331,0
1777465336,0
1777465341,0
1777465346,0
1777465351,0
1777465356,0
1777465361,0
1777465366,0
1777465371,0
1777465376,0
1777465381,0
1777465386,0
1777465391,0
1777465396,0
1777465401,0
1777465406,0
