timestamp,active_connections
1777440624,0
1777440629,0
1777440635,0
1777440640,0
1777440645,0
1777440650,54
1777440655,54
1777440660,54
1777440665,189
1777440670,189
1777440675,189
1777440680,322
1777440685,322
1777440690,352
1777440695,440
1777440700,440
1777440705,513
1777440710,564
1777440715,572
1777440720,675
1777440725,698
1777440730,723
1777440735,780
1777440740,795
1777440745,800
1777440750,800
1777440755,800
1777440760,800
1777440765,800
1777440770,800
1777440775,800
1777440780,800
1777440785,800
1777440790,800
1777440795,800
1777440800,800
1777440805,800
1777440810,800
1777440815,800
1777440820,800
1777440825,304
1777440830,38
1777440835,0
1777440840,0
1777440845,0
1777440850,0
1777440855,0
1777440860,0
1777440865,0
1777440870,0
1777440875,0
1777440880,0
1777440885,7
1777440890,22
1777440895,48
1777440900,117
1777440905,143
1777440910,177
1777440915,249
1777440920,282
1777440925,315
1777440930,377
1777440935,413
1777440940,448
1777440945,510
1777440950,547
1777440955,587
1777440960,635
1777440965,677
1777440970,716
1777440975,766
1777440980,813
1777440985,731
1777440990,791
1777440995,800
1777441000,800
1777441005,800
1777441010,800
1777441015,800
1777441020,800
1777441025,800
1777441030,800
1777441035,800
1777441040,800
1777441045,800
1777441050,800
1777441055,800
1777441060,800
1777441065,666
1777441070,421
1777441075,166
1777441080,0
1777441085,0
1777441090,0
1777441095,0
1777441100,0
1777441105,0
1777441110,0
1777441115,0
1777441120,0
1777441126,0
1777441131,0
1777441136,0
1777441141,0
1777441146,0
1777441151,0
1777441156,0
1777441161,0
1777441166,0
1777441171,0
1777441176,0
1777441181,0
1777441186,0
1777441191,0
1777441196,0
1777441201,0
1777441206,0
1777441211,0
1777441216,0
1777441221,0
1777441226,0
