timestamp,active_connections
1781613135,0
1781613140,0
1781613145,0
1781613150,0
1781613155,10
1781613160,10
1781613165,66
1781613170,134
1781613175,134
1781613180,200
1781613185,270
1781613190,270
1781613195,341
1781613200,388
1781613205,429
1781613210,456
1781613215,488
1781613220,550
1781613225,571
1781613230,650
1781613235,692
1781613241,713
1781613246,771
1781613251,798
1781613256,800
1781613261,800
1781613266,800
1781613271,800
1781613276,800
1781613281,800
1781613286,800
1781613291,800
1781613296,800
1781613301,800
1781613306,800
1781613311,800
1781613316,800
1781613321,800
1781613326,800
1781613331,800
1781613336,486
1781613341,314
1781613346,50
1781613351,0
1781613356,0
1781613361,0
1781613366,0
1781613371,0
1781613376,0
1781613381,0
1781613386,0
1781613391,0
1781613396,0
1781613401,0
1781613406,0
1781613411,0
1781613416,0
1781613421,0
1781613426,0
1781613431,0
1781613436,0
1781613441,0
1781613446,0
1781613451,0
1781613456,5
1781613461,26
1781613466,84
1781613471,113
1781613476,142
1781613481,209
1781613486,245
1781613491,285
1781613496,338
1781613501,371
1781613506,409
1781613511,475
1781613516,515
1781613521,555
1781613526,672
1781613531,770
1781613536,727
1781613541,806
1781613546,816
1781613551,791
1781613556,800
1781613561,800
1781613566,800
1781613571,800
1781613576,800
1781613581,800
1781613586,800
1781613591,800
1781613596,800
1781613601,800
1781613606,800
1781613611,800
1781613616,800
1781613621,800
1781613626,800
1781613631,800
1781613636,554
1781613641,353
1781613647,0
1781613652,0
1781613657,0
1781613662,0
1781613667,0
1781613672,0
1781613677,0
1781613682,0
1781613687,0
1781613692,0
1781613697,0
1781613702,0
1781613707,0
1781613712,0
1781613717,0
1781613722,0
1781613727,0
1781613732,0
1781613737,0
1781613742,0
1781613747,0
1781613752,0
1781613757,0
1781613762,0
1781613767,0
1781613772,0
1781613777,0
1781613782,0
1781613787,0
1781613792,0
1781613797,0
1781613802,0
1781613807,0
1781613812,0
1781613817,0
1781613822,0
1781613827,0
