timestamp,active_connections
1781621179,0
1781621184,0
1781621189,0
1781621194,0
1781621199,0
1781621204,26
1781621209,87
1781621214,87
1781621219,151
1781621224,220
1781621229,220
1781621234,295
1781621239,355
1781621244,355
1781621249,429
1781621254,474
1781621259,507
1781621264,562
1781621269,582
1781621274,655
1781621279,695
1781621284,710
1781621289,762
1781621294,797
1781621299,800
1781621304,800
1781621309,800
1781621314,800
1781621319,800
1781621324,800
1781621329,800
1781621334,800
1781621339,800
1781621344,800
1781621349,800
1781621354,800
1781621359,800
1781621364,800
1781621369,800
1781621374,800
1781621379,642
1781621384,273
1781621389,0
1781621394,0
1781621399,0
1781621404,0
1781621409,0
1781621414,0
1781621419,0
1781621424,0
1781621429,0
1781621434,0
1781621439,1
1781621444,17
1781621449,44
1781621454,99
1781621459,146
1781621465,176
1781621470,230
1781621475,281
1781621480,314
1781621485,368
1781621490,407
1781621495,442
1781621500,490
1781621505,544
1781621510,571
1781621515,637
1781621520,689
1781621525,728
1781621530,794
1781621535,860
1781621540,910
1781621545,981
1781621550,929
1781621555,868
1781621560,800
1781621565,800
1781621570,800
1781621575,800
1781621580,800
1781621585,800
1781621590,800
1781621595,800
1781621600,800
1781621605,800
1781621610,800
1781621615,800
1781621620,586
1781621625,313
1781621630,0
1781621635,0
1781621640,0
1781621645,0
1781621650,0
1781621655,0
1781621660,0
1781621665,0
1781621670,0
1781621675,0
1781621680,0
1781621685,0
1781621690,0
1781621695,0
1781621700,0
1781621705,0
1781621710,0
1781621715,0
1781621720,0
1781621725,0
1781621730,0
1781621735,0
1781621740,0
1781621745,0
1781621750,0
1781621755,0
1781621760,0
1781621765,0
1781621770,0
1781621775,0
1781621780,0
